,닉네임,댓글,날짜
435,123(61.38),へ(⊙ω⊙へ) ~ (っ￣ω￣)っ 츄베룹이 뭐요?? 도데체가!!에야,2002.08.06 18:32:01
436,장원(211.220),공부할때 집중하는방법 아는사람??,2002.08.06 19:36:28
437,-_-(211.212),츄배룹 하면 방법 한다. 츄배룹 하면 손발리 오그라진다.,2002.08.07 00:59:56
438,へ(￣∇￣へ) 츄배(210.205),へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~,2002.08.07 19:02:31
439,참...(218.144),할일 더럽게 업ㅂ은 인간들이네..,2002.08.07 20:16:32
440,중엽이(211.254),난..방법이조아..방법.보여줘.방법.보여줘보여줘보여줘!방법...,2002.08.07 21:55:32
441,섭섭이(165.132),자작극이므로 무효요...,2002.08.08 15:42:54
442,군고구마창업준비자(202.30),고구마 장사를 하려는데 100원만 주세요.,2002.08.09 08:23:08
443,Storm(210.180),100원 아직도 못 얻었어요 ?,2002.08.09 13:21:17
444,흐미(218.144),방법스~~ 오글스~~,2002.08.09 16:52:04
445,아즈망가(210.118),츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~ 아즈망가 한글판을 보고 싶소,2002.08.10 10:40:57
446,츄배룹(61.76),"츄\""배\""룹이오 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~",2002.08.10 17:06:14
447,방법이란(211.237),"경상도에서 볼 수 있는 사투리로써, \'주문을 외다\' \'주술적 행위를 하다\'는 뜻이 있습니다. -전국사투리연구회-",2002.08.10 23:20:45
448,하은이빠돌이(202.30),IP접근 거부 당한 사람 프록시 쓰시오! proxy.shinbiro.com 8080,2002.08.11 05:07:59
449,하은이빠돌이(202.30),IP접근 거부 당한 사람 프록시 쓰시오! proxy.shinbiro.com 8080,2002.08.11 05:08:19
450,어라?(61.248),방법하면 손발이 오그라진다가 요기서 나온거로구나..으흥ㅇ...,2002.08.11 09:17:27
451,이런...(61.73),할머니가 전쟁중에 태어나셔서 한글을 모르는 거 가지고.. 너무들 하신거 아닌가요.. 저분이 님들의 할머니 일수도 있는데..,2002.08.11 12:53:57
452,초햏(211.110),"\""방법\""에 대한 미스터리가 드뎌 풀렸소.........",2002.08.11 15:31:56
453,코난(211.244),방법이 아니오 방패라고 하오.. 우리할머니께 경상도지방에서 물건을 훔쳐간 도둑넘을 방패를 하면 손발이 오그라들고 그물건을 다시 찾게 된다고 하였소.. 방법이 아니라 방패요 알고들 이야기하시오!! 고유의 민간신앙인듯하오..,2002.08.12 03:31:36
454,oi(210.120),위에꺼 다 익느라고 눈알 돌아가는줄 알았소. 안구건조증인는 본좌로서 인공누액 1통이 들었소. 여타간 햏자들의 수햏이 이러케까지 대단할 줄은 몰랐소이다. 감동이외다.,2002.08.13 04:25:07
455,나(210.120),만화책 보면 방법한다 방법하면 옛날 몸매로 돌아간다 안보면 안한다,2002.08.13 11:32:54
456,건빵누나(211.212),할매가 방법이라면 방법이지 너거 할매는 방패 우리할매는 방법,2002.08.13 14:27:46
457,방법?(61.75),자꾸눈물이나네...,2002.08.14 13:36:50
458,개벼룩(211.105),へ(￣∇￣へ) 개벼룩~ (っ￣∇￣)っ 개벼룩~간지러워!!!...핳핳핳,2002.08.16 11:43:31
459,1(61.96),츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~,2002.08.16 22:33:41
460,w3(211.208),아악.. .내 손발~~~~ 할머니 죄송해요... ㅠ.ㅠ,2002.08.17 00:26:06
461,ㅡ.ㅡV(218.146),츄배룹へ(￣ ∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹,2002.08.17 22:23:02
462,싱싱한생선(61.103),시영 53동이구려!53동이면 82시영인가 아님 재송그린인가...80시영은 31동까지인가밖에 없어서..,2002.08.18 18:32:35
463,방법이(211.245),뭐에요?,2002.08.20 04:18:17
464,압박소년(210.125),아직도 손발리 오그라드오 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,2002.08.20 13:19:13
465,아비뇽(61.77),차에서 멀미 심하게 하면 온몸에 쥐나면서 손발이 오르라드오. 난 경험해봐서 안다오.,2002.08.22 02:15:19
466,허걱~~!!(211.199),재송그린이라함은 예전83시영이구려...53동은 그린에 있소..살았던 곳이오..그 할머니 누군지 추측이 가오...크헣헣...,2002.08.22 11:58:38
467,허걱~~!!(211.199),방법한다의 본디말은 양밥한다라오...엄마나 할머니께 물어보시오..,2002.08.22 12:00:32
468,윤준서(61.72),방석 가져간 사람 아는분 011-903-0215 전화주시오,2002.08.22 20:06:08
469,미니(200.81),츄배룹이 머에요?,2002.08.23 14:26:58
470,싱싱한생선(61.103),허걱햏자 맞추셨소 과거 83시영이었소 재송동거주했던 햏자보니 반갑구려,2002.08.26 14:25:49
471,대왕님rusiel(211.110),"방법의 바른말은 양법, 또는 양밥입니다......우리나라 토속적인 저주의 하나로 물건이 없어지면 뜨겁께 대워진 솥안에 고양이를 넣어서 뚜껑을 닫고 괘롭히면 고양이가 그 도둑에게 당한만큼 복수를 한다는 군요. 고양이가 솥안에서 손과 발, 성기가 오그라 질정도로 구워지면 훔처간 도둑도 손, 발과 성기가 오그라들어 자식도 못 낳는다고 하는 토속적인 공포의 저주라는...",2002.08.26 15:31:19
472,153등(218.54),아해햏...,2002.08.31 14:25:58
473,아해햏(61.81),아햏햏,2002.09.01 00:12:51
474,ㅋㅋㅋ(211.200),재송그린..ㅋㅋ울동네.반갑네요.ㅎㅎㅎ전재송여중나왔지요.,2002.09.01 04:08:32
475,허걱~~!!(211.194),본좌는 초딩 2학년때까진가 살았소만..아직까지 아는사람이 제법있다오..저 할머니는...아마도 화단에 들어가는 아해들에게 침 놓는다고 위협하시던 할머니로 사료되오..이사를 안 가셨다면 말이오..아마 안 가셨을게요..크헣헣...,2002.09.01 21:30:52
476,Guilty(68.50),방법좋아~ /ㅅ/,2002.09.02 02:44:15
477,츄배룹(211.63),예전에 에헤야 디야가 더 재밌던데...,2002.09.02 10:50:48
478,피부암통키(61.254),ㅠㅠ 드디어 방법까지 찾았다..어무이~~~~~~~~~~~~~~~~~~~,2002.09.03 21:20:37
479,ㅜㅜ(61.36),나도 찾았소 아부지~~~~~~~~~~~~~,2002.09.06 19:31:55
480,츄배룹(211.53),츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~  츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄~,2002.09.10 22:02:42
481,?(211.194),바보다,2002.09.13 02:36:35
482,햏햏(211.225),운좋해ㅐ,2002.09.16 11:45:06
483,얼(211.222),저게 그유명한 방법......,2002.09.24 02:15:13
484,조랑말(211.202),꼴뚜기짓 꼴뚜기짓 꼴뚜기짓 박소올은 일찍 헤어나는게 좋소,2002.09.24 19:46:39
485,꽃동네(211.222),성지순례기념 2002년 9월 26일 ㅇㅇv,2002.09.26 23:18:10
486,으허(211.200),성지순례구려~~~ㅎㅎ,2002.09.27 00:52:19
487,직딯(203.247),성지 순례 구려..??? 난 졸려 =_a 부비부비,2002.09.28 10:11:37
488,다시한번(210.181),성지를 들렀소. 다시봐도 감명깊소. 부산나이록할머니 근황이 궁금하오. 나이록은 찾으셨는지...,2002.09.30 14:39:17
489,개천절기념(219.241),성지순례....,2002.10.03 11:56:15
490,츄배룹(211.204),츄배룹 へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~,2002.10.03 20:26:50
491,나이록도둑(211.109),흑흑..ㅠ.ㅠ 할머니 이제 갖다 노을께요...벌써 손이 반쯤 오그라 들었어요,2002.10.06 15:26:32
492,나이록(211.212),할머니의 만수무강을 기원하오.,2002.10.08 01:18:17
493,뒷북이오(210.99),둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥둥,2002.10.11 13:42:19
494,ajk(61.248),미친게요 이사진이 원조요,2002.10.13 02:10:32
495,싱싱한생선(61.103),아니 조~~기 위에 내 선(또는)후배가 있구려!!반갑소!!!,2002.10.18 22:41:30
496,음악도(61.96),드디어 찾았소!!! 방법!!! 소햏 성지순례 중이라오~,2002.11.02 16:57:33
497,헤르미온느(61.99),오랜만에 힛겔을 탐방하던중..전설의 게시물중 한개 발견+ㅅ+ 오늘 개벽이까지 가봐!,2002.11.24 22:01:33
498,감동한 햏자(211.219),헉 이게 유래였군요.... 과연 득햏의길은 멀고도 험하군...ㅠㅠ,2002.11.26 13:32:09
499,역시 성지순례(211.104),방법과 손발리 오그라진다 의 기원을 찾아서,2002.11.28 01:43:26
500,바츠소다(61.98),1등인가 ?,2002.07.27 21:34:17
501,어리버리햏(61.81),훗 몇등?,2002.07.27 21:44:37
502,DDR Now!(211.117),히트돼신거 축하 드립니다...쿨은3개 히트는1개 그러므로 히트가 더 품격있는 갤러리라고 사료됍니다..,2002.07.27 21:54:46
503,DDR Now!(211.117),게다가 쿨은 비싼 디카 아니면 뽑이주지도 않는데 비해 히트갤러리는 재미만 있으면 등록이죠..,2002.07.27 21:55:39
504,sevil(61.73),재미\'만\' 이라니...재미있는 사진이 얼마나 귀한데...,2002.07.27 21:59:12
505,맘마-♥(211.171),크하하핫!! 악플 쌔우면 손발리 오그라진다!,2002.07.27 22:08:02
506,Marselli(61.82),왠지 할머니에게서 어둠의 포스가 느껴진다...,2002.07.27 22:53:46
507,ㅡ.ㅡ;;(211.186),방법을 해버리겠소...,2002.07.27 23:13:28
508,할머니!!(218.233),할머니는 전화도 없자나 아플땐 어떡해 웅 T-T,2002.07.27 23:15:18
509,텊햏자(218.233),그냥 의자에 앉어 이 할망구얏!,2002.07.27 23:18:33
510,나무(211.105),비싼 카메라만이라니...2500도 쿨이 있다우~~,2002.07.27 23:23:43
511,음냐리(61.102),의자라니뇨?? 그 나일록 방석은 할머니와 동거동락한 사이외다 그걸 가져갔다니 당연히 방법해야하오!!,2002.07.27 23:34:35
512,할망구라니(61.74),텊햏자. 사과해라 안하면 방법한다. 방법하면 손발이 오그라진다. 사과하면 안한다.,2002.07.28 00:10:42
513,The 9(211.104),히트 겔러리로 왔구료 수많은 햏자 여러분 감사하오 더욱 수햏에 힘쓰겠소 많은 지도 부탁드리오,2002.07.28 00:16:49
514,소지로(211.104),내가 본 종이는 비에 젖은 것인데... 자네는 비에 젖기 전에 찍었구려..,2002.07.28 00:21:17
515,J(203.234),깔고 안진 나이록 갓다 노라. <- 노라 라는 단어는 햏 이 느껴지는구려.. 안 갓다 노면 방법한다. <- 간단하면서도 무섭게 협박하고있소.. 방법하면 손발리 오그라진다. <- 방법이 무엇인지 친절히 설명까지 해주고있소. 손발리 라는 단어에서 역시 햏을 느낄수 있소..  갓다 노면 안한다. <- 이 전체글의 핵심이 되는 반전이요. 유즈얼서스펙트.식스센스 저리가라의 뒷통수를 때리는구려. 오랜 삶의 인자함이 느껴지오. 죄인이 사죄하면 용서한다는.. 역시 득햏은 간단히 이루어지지 않는듯 하구려.. 오랜 삶과 수햏으로 이룰수 있는듯 하오. 승업햏자 이후 간만에 존경하는 인물이 되게쏘..,2002.07.28 00:31:48
516,행파이브(61.252),왜이리 어려운거시냐...행파이브...ㅡㅡ;자꾸 안되면 방법한다.,2002.07.28 01:11:49
517,MegaDeth(61.84),모두들 조심하시오..방법당하기전에..,2002.07.28 01:53:56
518,악플렁(211.108),2500 쿨사진이 뭐요? 검색해도 안나오는 구먼,2002.07.28 06:03:23
519,Maurois(61.96),클픽스 2500인듯 싶소.,2002.07.28 12:05:41
520,여기서(211.219),"방법이라 함은 아마 양밥을 말하는걸 겁니다.양밥은 어떠한 격식을 행사하는것인데나이드신분에게 양밥이 무었인지 물어보면 알수 있습니다.양밥은 주로 도둑을 잡으러 할때쓰는 전래의 풍습중 하나입니다.양밥을 쓰면 물건을 훔친사람은 신체적으로나 정신적으로 어떠한 징후가 나타나게 되죠.일종의 저주이기도 하고,심리적으로 물건을 훔치는 사람에게 압박을 가하게 하는 풍속이죠....중 늙은이가 주절주절....",2002.07.28 12:13:06
521,김치(211.242),아햏햏 하면서 자기들기리 아주 좋덴다.. 너무 의미없는 짓거리들. 리플 새로 들어왔나 보러 오는짓거리도좀 하지마라.. 할일이 글케 없니? ㅋㅋㅋ,2002.07.28 13:53:46
522,아햏햏(211.244),그러는 당신은 왜 오는데  아햏햏~,2002.07.28 14:51:14
523,제다이기사(211.220),포스에 집중하시오,2002.07.28 14:57:25
524,김치야(211.216),아햏햏해라 안하면 방법한다 방법하면 손발리 오그라진다 하면 방법 안한다,2002.07.28 15:08:23
525,"ㅡ,.ㅡ(210.114)","211.242.66.85 자네가 반말을 쌔우니 나도 반말을 쌔우겠네... 힛갤까지 와서 리플달 정도면 자네도 영락없는 폐인일세... \""ㅋㅋㅋ\""는 의미가 있는 짓거리라 생각하는가?",2002.07.28 15:11:44
526,마사루(61.103),아햏햏....스타스피쉬라오~~~,2002.07.28 16:13:47
527,ㅡㅡ;(218.150),참.. 아햏햏하게 쌔웠구려.. 이런글 계속 올라오면 방법을 해야겠소.,2002.07.28 16:52:17
528,하하하(61.78),참으로 잼나는 글인것 같소이다 ㅋㅋㅋ,2002.07.28 16:58:38
529,명박이(211.216),과외가 안들어와요 제발40원만 주세요네?,2002.07.28 17:07:08
530,재송동(211.220),재송동 시영아파트 53동이군.. 말곤 해운대에 53동까지있는 아파트는없다~!!,2002.07.28 17:44:03
531,방법을(210.217),"하는 방법중 하나는.. 주로 조류(수리나 매...)등을 잡아 발을 자를후 그 발을 피해자(물건을 잊어버린)집의 어떤 장소에 묻는것 이라고 하더군요...그럼 그 발이 썩음과 동시에 도둑의 손발이 오그라든다고...하지만 주 목적은 저 \""방법을 한다\""라는 말을 도둑이 듣고 겁을 먹어서 다시 훔친물건을 제자리에 갖다 놓게 하는것 이라고...",2002.07.28 18:32:08
532,dfg(211.225),dfgsd,2002.07.28 19:10:39
533,ggghjd(211.225),djdfh,2002.07.28 19:10:59
534,fghdf(211.225),hd,2002.07.28 19:11:08
535,hjkk(211.225),hjkhgjk,2002.07.28 19:11:21
536,천하장사(165.194),아무렴... 방법 앞에 장사 어ㅂ지...,2002.07.28 19:26:29
537,에이구(211.224),",,,그무시무시한 방법을 내 살아생전에 볼수 있을려나...흥분되는군...",2002.07.28 20:02:25
538,dk(61.98),정말 소름끼치는 군요. 방법을 당하다니. 방법을 당하면 손발리 오그라진다. 으스스 ..,2002.07.28 20:43:11
539,헉!(211.243),무림계의 숨겨진 비기로 알려진 그 \'방법\'을 하신다니 절대지존이 아닐수 없소. 여기 햏자들 다 덤벼도 1합도 못 버틸것이오,2002.07.28 22:15:06
540,1(61.254),123124124,2002.07.28 23:21:07
541,The 9(211.216),재송동 시영아파트 53동 맞소 -_-;; 윗 햏자의 수햏은 대단하구려 근데 정말 53동 있는게 재송동 밖에 없는 것이오?,2002.07.29 00:27:30
542,부시(211.218),이제 방법한다는 유행어요...쌔우면 방법한다 방법하면 손발리 오그라든다 안쌔우면 방법안한다,2002.07.29 00:33:47
543,ㄴ(211.203),ㄴ,2002.07.29 02:39:25
544,s(211.33),s,2002.07.29 07:07:26
545,정리(211.239),나이록 방석 쌔워 노라 안 쌔워노면 방법 한다 방법하면 손발이 오그라 쌔워진다. 쌔워 노면 방법 안한다.   (예)  ⓐ 너 나한테 빌린돈 쌔워 노라.  안쌔워 노면 방법한다. 방법하면 손발리 오그라 쌔워진다. 돈 쌔우면 방법 안한다.   ⓑ 너 내 롤러블레이드 쌔웠지? 내 노라 !  안내노면 방법한다. 방법하면 롤러브레이드 바퀴로 방법한다. 방법하면 대구리에 바퀴 쌔워진다. 내 노면 방법 안한다.,2002.07.29 13:47:55
546,또다른진심(211.181),응?,2002.07.29 13:48:33
547,해운대휴가온햏(211.193),내 중학교 때 이틀을 아파서 학교를 못 갔다. 병원에서도 발작적 구토증세의 이유를 알 수 없다 했다. 그러자 그녀가 나섰다. 우리 할머니. 방법하시었다. 방법해서  내가 다 나았다.  좋은 방법도 있다는 것을 알아야 득햏할 수 있다. 나는 이제 수영간다. 아햏햏 (물속에서 오줌 쌔우지 마라  양심도 업ㅂ은 인간),2002.07.29 13:50:36
548,정리2(211.239),ⓒ 여보 오늘은 아헿헿하니 쌔워 노시요. 안 쌔워 노면 나 방법할지도 몰라잉... 방법 하면 손발리 오그라 쌔워진당~~ 쌔우면 아헿헿 하니까 방법 안하지롱~  ⓓ 철수야 이번에 본 시험 반에서 몇등 쌔웠니? 뭐 아헿헿 했다고? 득햏 했구나  일딴 성적표 쌔워 노라. 안쌔우면 방법한다. 방법하면 회초리로 손발리 오그라 진다. 쌔우면 방법 안한다. 자~ 내노라 ... 어~ 헉! 정말 아헿헿 하게 쌔웠구나... 종아리 걷어 노라. 뭐 ? 햏복은 성적쌔우는 순서가 아니잖냐고? 에잇~ 무차별 방법해야 정신을 쌔우겠구나....  -_-;;,2002.07.29 13:54:38
549,새로운(210.120),소식이오 삼성에서 곧 1Gb짜리 햏을 출시한다고 하오...더이상 고생하여 수햏할 필요 업소. 돈이면 득햏도 가능하오,2002.07.29 13:57:28
550,참고로(210.120),8월부터 출시되는 삼성제품에는 방법모드가 추가될 예정이오. 한번에 최고500Mb의 햏이 소모된다고 하오,2002.07.29 14:02:21
551,여보오(211.239),삼성을 싫어하오 좋아하게 할라믄 삼성을 내게 쌔워 노라.  안 쌔워노면 방법한다. 방법하면 모듈과 메모리가 오그라 진다. 쌔워노면 방법 안한다.,2002.07.29 14:08:08
552,당장(210.120),방법을 중단하시오. 내 친구 컴퓨터로 글 쌔웠단 말이오.ip로 방법할라믄 제대로 확인하고 하시옷!,2002.07.29 14:24:35
553,힛 갤에(211.196),글을 쌔우면 폐인이란 말이오?? 내가설마 폐인??,2002.07.29 14:40:56
554,어디서(211.41),거지발싸개같은 것은 잘도 퍼와 지껄이누만,2002.07.29 16:31:22
555,아야얏!(210.220),아가씨 또 밟으면!.....방법할겁니다......(핳핳핳핳핳),2002.07.29 17:01:24
556,츄베룹(211.204),츄베룹へ(￣∇￣へ) (っ￣∇￣)っ 이거 없으니까 허전하오.,2002.07.29 18:26:04
557,무당(211.55),"방법이란 혹세무민하던 시절에 \""방자\""라고 하여 널리 퍼졌던 말이오... 원문을 쎄우려고 하였으나..찾을길 없어... \""방자\""는 짚으로 만든 인형에 주술을 거는 일종의 저주의 행위라 할수 있소... 방자를 당하면 손발이 오그라들고.. 고통에 시달린다 전해지오.. 부두교가 그 근원이라 하나 민속주술로 세계 각국에서 공통적으로 나타나는 감염주술의 일종이오.. 인형뒤에 붙여놓고 방법해보시오...",2002.07.29 18:29:23
558,므헤헤(203.239),득햏의 경지에 못미치오 뒷북치지마소 이사라뮈..,2002.07.29 19:24:21
559,충격(211.221),서울대 여학생.... 예체능계 학생에게 공통수학 하나 과외해주며 50만원 받아 처먹은 사실이 드러남... 그들의 좀더 높은 과외비를 향한 질주는 언제쯤 멈출 것인가?,2002.07.29 19:55:17
560,실피드(24.54),"정리1, 2가 더 웃겨 -_-;",2002.07.29 20:37:56
561,낭군(211.222),어디있나 찾았는데 히트에 있었구료. 아햏햏 참 좋소! 여기에 악플단햏자들 지워노라 안지워노면 방법한다 방법하면 손발리 오그라진다 지워노면 안한다,2002.07.29 21:15:42
562,한지(211.244),아.. 저 곱게 자른 노트 ㅠ_ㅜ 할무이~,2002.07.29 23:11:27
563,베타폐인(218.151),헤레렐레렐..부비부비,2002.07.30 00:35:52
564,아햏(218.147),오 득햏심이 대단하오.. 역시 우리의 햏자올시다. 저 많은 햏자료 부탁하오 그리고 악플은 쌔우지 마세요. 쌔우려면 남에게 피에는 주지 말아야지 이 양심업ㅂ은 것들아~,2002.07.30 16:37:04
565,헐(203.244),내원참 어제 어떤 넘이 이걸 문자로 보냇다오 나원 -_-;;웃기는 넘이 007을 보내는 번호로 했더군 득햏이 심히 부족한 넘이라 생각되오,2002.07.30 17:20:56
566,햏자(61.72),나이록 방석사다드립시다.,2002.07.30 18:54:59
567,방법대원(61.72),へ(￣∇￣へ) 우린 그냥 친구잖아~ (っ￣∇￣)っ 나... 널 사랑한 적 없어~,2002.07.30 23:54:01
568,기다리다(211.216),"위와 같은 말을 듣고 눈물이 흐를 뻔 함은 본인이 수햏이 부족한 탓이었소... 그리고, 아직도 수햏이 부족함을 느낀다오. 밤 중에 불러내서 같이 술 마신 친구들이 고마울 따름이오.",2002.07.31 00:12:00
569,우메욘(61.101),글씨가 멋짐으로 유효~,2002.07.31 01:07:00
570,츄~~(218.157),へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~,2002.07.31 01:58:44
571,방법이 이것이군(210.221),한참 웃었소.. 미칠지경이오,2002.07.31 02:35:26
572,츄배(211.113),"손발이 오그라 든다 함은 혹 프로레슬계의 사도의 기술\""Low blow\""를 지칭함이 아닌가???",2002.07.31 02:44:40
573,츄배(211.113),어쨌든 운율이 딱딱맞고 후렴구가 있으므로 유효요...,2002.07.31 02:47:07
574,나(61.98),나일론이 아니고 폴리 에스테르일 확률도 높소,2002.07.31 05:02:02
575,방법이란(211.204),무엇인지 요즘들어 연구가 활발하오..이미 연구가 끝난햏자들은 리플좀 쌔워주오,2002.07.31 14:45:05
576,fuck you(211.107),조까.. 그따구 소리 하지말고 국어 공부 다시해 XX야,2002.08.01 00:54:21
577,쿠휄휄(211.54),방법이란...저주의 고어요...예전에 저주를거는 도사를 방사라고도 칭했고 방사가 방법한다는 말은 무당이나 도사가 저주내지는 신령스러운 일을 행하는걸 이야기한는 말이었소..이건 증말이요..학문의 압박이요~ 한글고전소설읽어보면 자주 나오니 읽어보시오,2002.08.01 03:12:25
