,닉네임,댓글,날짜
88,ㄹㅇㄹ(218.39),성지순례 왔습니다부러진팔 빨리 낫게 해주시고평화롭게 덕질하게 해주시고돈많이 벌어서 라우라 보데비히 다키마쿠라 갖게 해주세요,2017.01.21 09:00:02
89,20214(210.218),성지순례왔습니다.과학고합격하게해주세요,2017.07.21 15:09:36
90,sam(211.49),성지순례 왔습니다.,2017.07.29 11:12:00
91,ㅇㅇ(49.171),하 섹스,2017.09.30 11:44:08
92,두산팬개복치(59.10),2018년 첫 성지순례 댓글입니다.두산 우승하게 해주세요.,2018.02.10 22:19:36
93,ㅇㅇ(222.97),성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄성지 순례중입니다... 🌑█▀█▄,2018.05.05 11:17:42
94,대한민국경찰 ,성지순례 왔습니다 화이팅하시고 하는일 잘풀리게 해주세요,2018.06.23 15:13:02
95,ㅇㅇ(97.64),시발 이게 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2019.04.06 07:50:28
96,ㅇㅇ(91.207),성지순례,2019.07.11 22:05:01
97,ㅇㅇ(210.95),옹달샘 이지랄 ㅋㅋ 조상님들 유쾌하시네 ^^,2021.12.05 07:21:52
98,ㅇㅇ(118.223),반 편성 잘 되게 해주세요,2022.01.27 16:40:10
99,디시랑 ,디시콘 보기,2022.12.21 14:43:41
100,톰아스(211.54),아빠 무를주세요. 재발요 내,2001.11.20 16:02:22
101,mask(211.218),떨어지는 물방울 모냥이 거진 잡힌걸루봐선 움.. 괘안은 카메라쓰시는듯? 속도가 적어두 한.. 1/250? 은 나와야지 저정도찍힐텐데.. 플레시를 가만해두 실내인데 움.. 잘찌그셨네요 흔들림두 없이 베리굿,2001.11.20 16:09:53
102,ㅡㅡ?(211.54),황소쥐가 쉬하는거 같아요.,2001.11.26 19:14:02
103,헐..(61.84),저희 집이 더 좋네요.. 저희 집은 불이 안들어오는데....,2001.12.02 00:35:53
104,울찌(211.197),쥐들이 단체 쉬아하나부죠,2001.12.21 23:55:52
105,감리단장(211.186),일단 천장의 외부 상태로 보아 천장의 콘트리트의 배합에 문제가 있는것으로 사료 됩니다. 천장 슬라브에서 물줄기가 마치.. 마치... 뭐처럼 쏴아아 하고 나오는걸 보아하니 콘크리트 슬라브에 엄청난 결함이있는것이 확실합니다. 일단 천장슬라브 외부에 흰색 레이턴스가 많이 끼어 있거나 혹은 굵은골재(자갈)이나 철근이 들어 나있다면 심각한 구조적 결함으로 인한 붕괴가 우려되오니 이사가세염 -0-;;,2001.12.26 23:56:03
106,감리단장(211.186),"하중에는 사하중(dead load), 활하중(live), 풍하중(wind)등이 있습니다. 또한 물줄기의 위치가 도심에 근접한걸 보아하니 슬라브의 종횡방향중 한쪽으로 엄청난 크렉이 가있는걸로 사료됩니다. 일단 국내에서 지진하중으로 인한 피해는 없고 님의 옥탑위에 장독이나 기타 사하중이 없다는 가정하에 붕괴원인이 될수 있는것은 몇가지 꼽을수 있겠습니다.",2001.12.27 00:02:38
107,감리단장(211.186),"우천시 배수불량으로 인한 \'비하중\',  Jet 기류의 지면방향 \'jet 풍하중\' 이 있으며 가장 중요한 하중은 sparrow load 가 있습니다. 이 sparrow load는 국내에 아직 확인된바 없지만 톰과제리나 핑크펜더등에서는 이와 유사한 하중에 의한 사망사고가 기록되었습니다. 조심하시기 바랍니다.",2001.12.27 00:09:07
108,감리단장(211.186),장난 아님니다... 데퀼라먹어서 그런감 -0-;;;;,2001.12.27 00:10:51
109,멘도자(211.247),불쌍하다..,2002.01.14 18:10:17
110,-.-;(210.206),멋진 물방울 접사입니다.,2002.01.25 13:07:57
111,수도공사(211.190),적절한 처리 후에 가정까지 공급된 믿을 수 있는 물 입니다. 그물 그대로 마셔도 문제없습니다. 우리 수도공사 직원과 그 가족일동은 매일 그 물을 그대로 마시고 있습니다. 믿고 마십시다. 우리가 우리의 물을 믿지 않으면 누가 믿어줍니까? 그냐앙 다아 마셔버리십시오. 그리고 나서도 불만이 있으시다면 그때 다시 글을 올리심이 어떠시련지?  근데 그 물 수도물 마쪄?,2002.03.04 22:21:07
112,28호(211.192),fps1000 위성에 붙어있는거 붙였다. 떨어진건가요.????,2002.04.10 10:00:04
113,...(211.187),삭삭춘?,2002.06.21 18:32:14
114,수아공쥬(61.43),감전은 안되나요?이런환경에서도 형광등이 이상없다는게 경이로울 따름..,2002.07.18 01:04:47
115,잔댜(211.33),곰팡이두 있다.ㅡㅡㅋ,2002.07.20 13:44:25
116,헉...(211.196),아직도 리플이 달리고 있네...,2002.07.29 21:31:49
117,성혛의사(61.85),물맞으러 가면 안되겠습니까? 요즘 어께가 아파서 물맞으면 좋다고 하는데 위치 좀 가르쳐 주시죠.......,2002.08.01 18:53:35
118,윤선민(211.33),웅~~ 제글에 아직도 리플이 달리고 있군여~ 사실 득햏에 힣갤러리 만큼 아햏햏한게 또 어디 있겠습니까! 모두들 득햏하십시오..문제는 올 8월말부터 다시 저집에서 살아야하는건데...음...,2002.08.02 14:49:34
119,손우(218.145),8월이면 장마는 끝나겠네여...허허~,2002.08.06 03:06:33
120,보노보노(211.33),믹스앤픽스를 사용해보세요 ^^,2002.08.10 01:08:47
121,Ohyung(211.221),쿨...,2002.08.28 15:20:19
122,길티(68.50),"깊은 산속~ 옹달샘!! 누가!! 와서 먹나요~~ /ㅅ/;; \""빅장!\"" --\""네놈의 모든 살과 뼈를 분리시켜주겠다!\""",2002.09.01 13:54:07
123,지나가는 햏(220.79),오오 저도 외대 생입니다...반갑기 그지 없군요...근데 외대역이 침수 된 적이 있나요?ㅡ_ㅡa;;,2002.10.06 15:31:09
124,assel(211.228),천장에 쥐를 방법하시오..오줌이외다..--,2002.10.16 22:59:13
125,쿠키다컴(211.186),보러 왔다가 들렀습니다. 숨어있는 히드라를 발견하세요,2002.12.03 01:22:11
126,dd(211.208),ddr,2003.01.13 03:02:30
127,강산(211.220),햐..저 귀하디 귀한 말로만 듣던...   100년 이상 된 집에서만 솟는다는 약수...  혹시 맛좀 볼 수 있을까요... 요즘 자취하느라 몸이..많이 약해 졌네요...저걸 먹으면... 금방 몸이 좋아질 것 같은데..,2003.01.17 21:31:27
128,제루샤 애벗(211.196),우와..근데 왜 형광등이 멀쩡한 겁니까?그리고 왜 하오체가 하나도 없는지;;;,2003.01.18 10:27:46
129,열도(218.153),7번째줄위에 하오체 있구료,2003.01.25 05:55:28
130,ㄹㄹㄹㄹㄹㄹ(211.211),저 당시에는 아햏햏가 없었던듯. 아님 말구.,2003.01.31 02:59:07
131,꼴등(211.225),실패돌렸소,2003.01.31 05:25:54
132,1`(61.40),1등이오??,2003.02.02 00:21:24
133,킁(220.88),감기걸렸어요,2003.02.06 13:48:39
134,고구마(211.107),고구마좀사주세요 살기힘들어요,2003.02.17 14:52:24
135,고구마(211.107),겨울 대목도 다 끝나가는데.. 빨리 사주세요,2003.02.17 14:52:51
136,씨디피코랴3(211.225),누가 천장에서 오줌을  싸고잇군.......ㅡㅡ,2003.02.22 02:42:37
137,대구..(211.253),힘드시겠어요..대구가 고향이라면.. 쩝 애도를 전해요..,2003.02.25 13:41:30
138,-_-;;(211.55),위에분.. 도데체 -_-;,2003.03.08 18:36:58
139,명량공익™(211.54),쿠키닷컴 중고가격 알아보러 왔다가 들릅니다~ 앞발 탁;,2003.04.02 09:44:08
140,???????(211.37),??????????????????????????????,2003.04.29 00:50:12
141,ㅇ(218.239),ㅇ,2003.05.05 15:06:04
142,악마(211.42),저기 저 사진의 천장햏은 여햏이구료.. 오줌빨에 힘이 없는게 보이시오?,2003.05.29 13:33:08
143,gjgj(211.213),대략 난감 무효돌려쌔워주오...허허 옘병이약수이로요..,2003.09.25 02:32:08
144,으흐흐~(210.110),여기 역시 수뉘꿘~!ㅋㅋㅋ,2003.10.28 11:52:39
145,햏햏6(211.217),성지순례중,2004.01.03 09:45:35
146,옹알(211.213),ㅡ........ㅡ 새해복많이 받으시오,2004.01.04 19:49:24
147,흐미(204.215),리플이 햇수로 사년째 달리고 있네,2004.01.23 05:10:05
148,전천후군(218.242),나도 꼴등,2004.03.22 07:51:37
149,ㅋㅋ(211.235),그러게요..이분 지금 이사하셨을라나..,2004.03.31 04:24:35
150,윤선민(210.223),아직 리플이 있네요.. 요즘은 취직해서 강남으로 옮겼습니다만 학생때가 그립기도 하네요... 엽기적인가요? 저방이 그립다면? ㅋㅋㅋ,2004.04.06 05:34:31
151,로빈훟(220.126),크악! 101등이다! 그건 그렇고 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐? 응? 힛겔 7등 게시물이냐?,2004.04.14 10:42:06
152,마지막(221.150),------------------------------------절취선---------------------------,2004.04.27 08:05:51
153,진짜마지막(211.56),------------------------------------절취선----------------------------,2004.05.12 03:54:23
154,아래는(211.104),------------------------------------사망자명단------------------------------------,2004.05.31 11:42:11
155,위에는(210.206),찌질이 명단,2004.06.09 07:36:50
156,천컴(165.132),형왔다.,2004.10.10 09:09:45
157,산적(220.81),여기에도 아직 립흘이 달리네.....순례자들 관광도 하3?,2004.10.18 03:48:15
158,궁뱅이(211.230),헉...... 몇등이지...??,2004.10.20 08:45:21
159,오늘은(211.201),힛겔이 안 올라와서 옛날 것을 보는 중입니다,2005.02.21 05:02:23
160,무가생(218.232),순례자 중 하나...,2005.04.20 20:19:28
161,왁히작하(219.250),순례,2005.09.04 18:00:39
162,레이비(219.250),2005년의 마지막 리플은 내가쓴다,2005.12.12 02:38:11
163,찌질이(61.109),2005년의 마지막 리플은 내꺼다,2005.12.13 04:39:31
164,윤선민(210.223),음... 아직도 제 게시물이 있군염... 저집살던때가 그립네염.. 직장 3년차.. 에구 학생이 짱입니다염 ^^;,2005.12.22 20:42:31
165,아웃뷁(218.38),2006년의 첫 리플은 내꺼다!! 가문의 영광..ㅋ,2006.01.24 23:06:54
166,머긍(220.120),옛날것을 보니 나름대로 잼잇삼,2006.01.26 12:43:50
167,햏(59.19),"독일 월드컵 개최, 한국은 토고전에서 2-1로 1승 ㄲㄲ",2006.06.16 22:00:28
168,김보-지(219.249),지금 이 글 보는 그대를 위한 쉽고 재미있는 게임이 있다. 주소창에 dddd. zotta. net적으면 돼... 언제라도 ,2006.07.03 19:30:19
169,막일꾼(124.199),성지순례,2007.03.27 19:55:43
170,니 미(122.47),병진들아 이건 콘크리트 배합문제가 아니라 하중으로 인한 슬라브처짐과 건조수축 돈아낄라고 물시멘트비를 적게 해서,2007.05.03 23:30:55
171,니 미(122.47),강도가 약화되어 휘게되면서 상수도 관이 강도를 버티지 못하고 같이 터져 물이 세게된거다,2007.05.03 23:31:59
172,니 미(122.47),이거 부실공사니까 다까부시고 다시지어야돼..,2007.05.03 23:32:32
173,김비스타(210.217),성지순례.... 이 게시물의 주인공은 지금 직장을 가지고있겠네요...,2007.05.29 12:37:43
174,/em(142.22),you are best,2007.06.05 06:31:07
175,21(203.232),제가 마지막인가연?,2007.06.13 09:36:57
176,제조공학 ,우물 아닌가여 우물 아닌가여 ㅋㅋㅋㅋㅋ,2007.06.14 13:58:11
177,성지순례자(211.173),성지순례,2007.06.16 02:57:58
178,캐슬워터(211.105),성지순례,2007.07.17 10:03:03
179,은하(124.50),성지순례중인데 예전엔 이런거보고 좋아했었구나 나도 참,2007.07.20 21:51:51
180,ㅇㄹㅇㄹ(211.212),↓미래인들아 요번주 로또번호좀 알려줘,2007.07.27 12:49:16
181,ㄴㅇㄹㄴ(125.133),닥치고 성지순례,2007.07.30 21:26:46
182,성지순례중 . 2007(125.129),성지순례중 . 2007 년 8월 11 일 오후 10시 38 분,2007.08.11 22:39:43
183,연화 ,성지순례..,2007.09.25 21:04:14
184,달마 ,"와십라,,,칙칙폭폭! 뿡뿌우 \' 3\')~",2007.09.26 04:15:05
185,개미머리 ,정주행시작합니다7,2007.10.01 11:25:12
186,뷁뷁뷁(218.39),성지순례...왠지 형광등과 물이만났으면함. 넘 잔혹함??,2007.11.24 08:40:36
187,ㅇㅇ(211.213),진짜 불쌍,2007.12.17 13:31:14
188,ㅁㅁ(218.239),ㅋㅋㅋㅋ,2007.12.24 12:20:07
189,ㅈㅈ♥ ,12월 29일 성지순례中,2007.12.29 15:48:17
190,레드스카이(59.150),2008/1/1일 성지 순례中,2008.01.01 23:31:11
191,후덜헉 ,↑늬들 또 왔냐??,2008.01.16 18:40:43
192,보이지않는손 ,7,2008.01.28 15:33:28
193,RAW ,어익후,2008.02.13 16:14:17
194,후(211.217),성지순례... 공부해야 하는데 ㅠㅠ,2008.02.24 12:46:48
195,소희 ,성지순례,2008.02.24 14:04:52
196,☃ ,☃,2008.03.07 11:40:28
197,파르셀 ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2008.04.24 03:43:34
198,하겐크로이츠 ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2008.05.26 01:28:36
