,닉네임,댓글,날짜
1125,Voidream ,허미 쉽헐...  - dc App,2017.06.09 13:21:10
1126,강명구 ,ㅠㅠ,2017.06.09 13:22:09
1127,궁극의@자연인 ,알바야 빨리 힛갤 안보내드리고 뭐하냐,2017.06.09 13:22:27
1128,ㅇㅇ(223.62),퍄퍄퍄퍄퍄퍄퍄 정의구현 플랑크톤 오졌따리~  - dc App,2017.06.09 13:22:52
1129,히토미(39.121),근데 이거 후기도 이써여 ??,2017.06.09 13:23:13
1130,양송잉 ,ㅠㅠ  - dc App,2017.06.09 13:24:01
1131,ㅠ(210.123),알래스카 황소벌레,2017.06.09 13:24:01
1132,S.d ,후기는 생존 신고 형식으로 짦게 그리겟음..  손을 다쳐서,2017.06.09 13:24:43
1133,시소(211.36),짝짝짝짝,2017.06.09 13:25:08
1134,ㅇㅇ(124.51),갓랭크톤님 참교육오지게 해주십시요  - dc App,2017.06.09 13:25:15
1135,ㅇㅇ(211.49),ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2017.06.09 13:26:16
1136,아엠어굿보이 ,알바 개새끼야 힛갤 안보내드리고 뭐하냐  - dc App,2017.06.09 13:30:51
1137,애플(175.223),중간에 안보여ㅠㅠ 모바일을 살려조....,2017.06.09 13:33:02
1138,애플(175.223),진짜 조만간 힛갤갈듯,2017.06.09 13:33:19
1139,애플(175.223),이거 진짜 명작인데,2017.06.09 13:33:28
1140,ㅇㅇ(223.62),Lilberodian focilbetus,2017.06.09 13:35:39
1141,ㅇㅇ(211.206),힛갤로 ㄱ,2017.06.09 13:35:56
1142,조뎅 ,갓피소드 드디어 끝나는구나 ㅠ  - dc App,2017.06.09 13:36:01
1143,ㄴㅅ(223.39),알래스카! 황소! 벌레였다고요!,2017.06.09 13:36:10
1144,jin ,흑흑  - dc App,2017.06.09 13:40:22
1145,ㅇㅇ(211.36),와 진짜 꿀잼시리즈 감사합니다.. ㅠㅠㅠ  - dc App,2017.06.09 13:41:10
1146,ㅇㅇ(211.36),손다치셔서 늦게올라왔구나..  - dc App,2017.06.09 13:41:47
1147,히토미(39.121),완결났으니까 이제 1화부터 몰아서 봐야지,2017.06.09 13:41:55
1148,가가나가가 ,힛갤 가자 이건,2017.06.09 13:42:40
1149,ㅇㅇ(39.7),횡단보도 장면에서 스폰지밥 눈 좌우반대다 수정 ㄱㄱ,2017.06.09 13:43:39
1150,숏컷빈유Spats ,,2017.06.09 13:44:24
1151,세슬롯 ,힛갤로,2017.06.09 13:44:25
1152,숏컷빈유Spats ,,2017.06.09 13:44:27
1153,똥전파 ,ㅠㅠㅠㅠㅠㅠ,2017.06.09 13:45:00
1154,똥전파 ,힛갤로 보내라 이거야,2017.06.09 13:45:12
1155,dd(14.37),힛갤가자ㅠㅠㅠㅠㅠ,2017.06.09 13:52:37
1156,치즈맛후드티 ,힛갤가자  - dc App,2017.06.09 13:57:24
1157,차냉 ,힛갤간다  - dc App,2017.06.09 13:57:31
1158,dd(220.70),띵작,2017.06.09 13:57:56
1159,율무유자 ,,2017.06.09 13:59:46
1160,율무유자 ,,2017.06.09 13:59:49
1161,율무유자 ,,2017.06.09 13:59:51
1162,율무유자 ,,2017.06.09 13:59:52
1163,율무유자 ,,2017.06.09 13:59:56
1164,PKT ,ㅠㅠㅠㅠㅠ,2017.06.09 14:04:24
1165,해림 ,알래스카 황소 벌레,2017.06.09 14:07:23
1166,호감닉 ,와,2017.06.09 14:09:37
1167,무나강장 ,크으 정주행 하고왔다 갓갓,2017.06.09 14:11:09
1168,YATA ,,2017.06.09 14:14:07
1169,YATA ,,2017.06.09 14:14:08
1170,이건(121.142),무적권 힛갤이야!!!,2017.06.09 14:14:29
1171,이건(121.142),무적권 힛갤이야!!!,2017.06.09 14:14:38
1172,이건(121.142),무적권 힛갤이야!!!,2017.06.09 14:14:46
1173,이건(121.142),무적권 힛갤이야!!!,2017.06.09 14:15:05
1174,ㅇㅇ(221.150),않충이었네 쉬펄,2017.06.09 14:15:06
1175,이건(121.142),무적권 힛갤이야!!!,2017.06.09 14:15:12
1176,❌호감향우회❌ ,힛갤 가겠네,2017.06.09 14:17:23
1177,S.d ,아 쉬벌 개념글은 수정못해?,2017.06.09 14:20:27
1178,민츠 ,,2017.06.09 14:21:40
1179,스피어걸 ,ㅠㅠ 고생했어,2017.06.09 14:24:04
1180,레쉬폰 ,힛갤탑승,2017.06.09 14:24:31
1181,ㅇㅇ(59.2),눙물..,2017.06.09 14:25:16
1182,. (119.219),,2017.06.09 14:27:35
1183,ㅇㅇ(121.160),에필로그도 그려주세요...결말이 좋긴 하지만 다람이는 뭐할지 넘넘 궁금합니다,2017.06.09 14:27:52
1184,ㅇㅇ(211.36),ㅅㅂ니가 카연갤 짱무라,2017.06.09 14:31:21
1185,랄롤리 ,차01,2017.06.09 14:31:52
1186,ReplikaHiCul.. ,,2017.06.09 14:36:49
1187,네오디늄자석 ,ㅇㄱㅅ  - dc App,2017.06.09 14:38:39
1000,네오디늄자석 ,힛갤로 가버렷  - dc App,2017.06.09 14:38:50
1001,ㅇㅇ(175.223),와 진짜 개띵작 ㅜㅜㅜ,2017.06.09 14:45:19
1002,특맨 ,힛갤로,2017.06.09 14:48:23
1003,노아구 ,않  - dc App,2017.06.09 15:00:39
1004,_(:3」∠)_ ,,2017.06.09 15:05:26
1005,ㅇㅇ(175.208),충성충성충성,2017.06.09 15:08:09
1006,gdf(61.247),충성충성,2017.06.09 15:10:50
1007,ㅍㅌㅈㅇ ,힛갤로,2017.06.09 15:11:39
1008,ㅇㅇ(117.111),와 결말까지 깔끔하네...미친...,2017.06.09 15:12:54
1009,ㅇㅇ(117.111),여튼 탑승  충성충성,2017.06.09 15:13:14
1010,ㅇㅇ(117.111),ㄹㅇ 내가본 오마쥬나 2차창작중 장편물에서 진짜 최고의 퀄리티였다 고증하나하나가 다 살아있어 ㄷㄷ,2017.06.09 15:13:51
1011,말륜 ,충성충성충서어어엉  - dc App,2017.06.09 15:14:15
1012,말륜 ,10,2017.06.09 15:14:24
1013,고티 ,26,2017.06.09 15:15:12
1014,아~~~싸~~~ ,덕분에 몆달동안 즐거웠습니다.  - dc App,2017.06.09 15:16:15
1015,슬맆 ,시발ㅠㅠㅠㅠㅠㅠㅠㅠㅠ  - dc App,2017.06.09 15:17:38
1016,ㅋ ,09,2017.06.09 15:21:12
1017,ㅇㄱ(211.36),잘봤으요. 집게사장도 좋아할겁니다.  - dc App,2017.06.09 15:23:26
1018,러닝백 ,오졌다... 잘봤습니다~@@  - dc App,2017.06.09 15:23:32
1019,페페킹 ,잘봤어요!  - dc App,2017.06.09 15:25:30
1020,ㅇㅇ(39.116),카우보이 비밥급 엔딩이네 ㅎㄷㅎㄷㅎㄷㅎㄷ,2017.06.09 15:26:53
1021,아똥매려워 ,흑흑 너모슬프다,2017.06.09 15:28:16
1022,아똥매려워 ,3,2017.06.09 15:28:37
1023,마요바요 ,야 아직 힛갤 보내면 안돼 후기 쓴다잖아,2017.06.09 15:28:50
1024,} ,엉엉,2017.06.09 15:30:39
1025,ㅇㅇ(175.223),감동  - dc App,2017.06.09 15:35:44
1026,해적전사(123.212),중간에 흐릿한 묘사 ㅆㅅㅌㅊ  - dc App,2017.06.09 15:41:05
1027,벼룬검 ,충성충성  - dc App,2017.06.09 15:47:22
1028,kkkkk(223.62),,2017.06.09 15:51:30
1029,ㅈ망겜 ,퍄퍄퍄,2017.06.09 15:53:34
1030,ㅇㅇ(175.204),s.d쌌.다ㄹㅇ,2017.06.09 15:55:31
1031,ㅇㅇ(175.119),퍄  - dc App,2017.06.09 15:57:10
1032,OO(211.173),힛갤 힛갤!  - dc App,2017.06.09 15:58:26
1033,모자241 ,Ssat.Da,2017.06.09 16:00:56
1034,모자241 ,힛갤로,2017.06.09 16:01:09
1035,ㅇㅇ(119.196),저거 마지막에 나오는 생물은 무슨 에피소드에서 나오는 거냐?,2017.06.09 16:02:39
1036,S.d ,알레스카 황소벌레임,2017.06.09 16:09:41
1038,ㅇㅁㄴ(119.149),ㅠㅠ,2017.06.09 16:10:18
1037,ㅇㅁㄴ(119.149),,2017.06.09 16:10:19
1039,ㅇㅇ(59.25),,2017.06.09 16:11:26
1040,ㅇㅇ(59.14),ㅠㅠㅠ,2017.06.09 16:14:11
1041,ㅇㅇ(124.53),ㅜㅜ  - dc App,2017.06.09 16:15:13
1042,lool ,26,2017.06.09 16:23:46
1043,데비건 ,다람이 과부 만들었네 ㅜㅜ  - dc App,2017.06.09 16:25:33
1044,ㅇㅇ(218.209),마지막화까지 완벽하다,2017.06.09 16:32:32
1045,ㅇㅇ(218.209),힛갤가자,2017.06.09 16:32:56
1046,WeKun ,알바 개새끼야 얘도 미리 힛갤보내서 일리단녀꼴 만들지말고 좀만 참아라 ★,2017.06.09 16:34:43
1047,ㅇㅇ(175.212),아이디어 쩐다.진짜 인정인정,2017.06.09 16:42:40
1048,282 ,,2017.06.09 16:45:01
1049,홍짱짱 ,,2017.06.09 16:50:53
1050,컵라면돼지 ,미쳤ㄷ,2017.06.09 16:51:26
1051,ㅇㅇ(59.26),진짜 마무리까지 역대급인 만화..  - dc App,2017.06.09 16:53:19
1052,ㅋㅋ(112.148),늦는다고 징징거려서 센송합니다..,2017.06.09 16:55:05
1053,운영자,-------------------------- 원본 댓글 -----------------------------,2017.06.09 16:55:09
1054,운영자,"순위권, 반복리플, 욕설, 도배리플 등은 삭제됩니다.",2017.06.09 16:55:09
1055,운영자,힛갤에 등록된 게시자에게 기념품을 드립니다. 관련갤러리 클릭하셔서 배송지를 남겨주세요!,2017.06.09 16:55:09
1056,운영자,,2017.06.09 16:55:09
1057,LoFI ,1,2017.06.09 17:03:24
1058,ㅇㅇ(223.38),띵작 인정,2017.06.09 17:03:53
1059,디마테차 ,맘껏 먹고! 맘껏 즐기고! 마테차!,2017.06.09 17:07:31
1060,요츠하 ,씹띵작,2017.06.09 17:10:49
1061,김젤딘 ,,2017.06.09 17:13:25
1062,ㅇㅇ(211.114),닛타 에미는 당장 AV 사건과 러브 라이브 뮤즈 해산에 대해 진상규명하라. 국민은 바보가 아니다. 당당히 나와서 진실을 밝혀라!,2017.06.09 17:15:21
1063,갓켈메(222.119),'됬'만 수정해줘 제발.........됬좀 그만써...이 개새끼들아....,2017.06.09 17:17:15
1064,ㅇㅇ(211.177),ㅜㅜㅜ,2017.06.09 17:18:09
1065,오리神 ,힛갤 왔구나...,2017.06.09 17:19:04
1066,Voidream ,4,2017.06.09 17:20:10
1067,첩첩산중 ,산 넘어 산이니 첩첩산중이네.,2017.06.09 17:20:35
1069,S.d ,미안 됬은 초반에만 쓰고 6화부터 고쳤음..  개념글이라 수정도 못함 ㅠ,2017.06.09 17:20:35
1068,첩첩산중 ,골 깊은 계곡에 물 흐르니 심심산천이네.,2017.06.09 17:20:37
1070,박~하나노(166.104),ㄴ니 애미나 좀 챙겨라 병신  - dc App,2017.06.09 17:23:48
1071,ㅇㅇ(125.177),힛갤왔네 ㄷㄷ,2017.06.09 17:23:59
1072,PGD-727 ,아 정말 최고다,2017.06.09 17:24:31
1073,ㅇㅇ(112.162),쩐다잉,2017.06.09 17:24:33
1074,PGD-727 ,,2017.06.09 17:24:41
1075,궁극의@자연인 ,갔다 ㅇㅂ,2017.06.09 17:25:18
1076,고티 ,26,2017.06.09 17:27:29
1077,Fort5 ,,2017.06.09 17:30:39
1078,네오디늄자석 ,출판하자  - dc App,2017.06.09 17:32:07
1079,이오리장재미슴 ,,2017.06.09 17:35:34
1080,화이팅! ,,2017.06.09 17:37:30
1081,레몬향방향제 ,멋지다♡♡♡,2017.06.09 17:46:37
1082,레몬향방향제 ,,2017.06.09 17:46:39
1083,ㅇㅇ(1.236),와 시발 완결났냐? 이거 ㄱㅆㅅㅌㅊ다 꼭봐라,2017.06.09 17:48:27
1084,ㅇㅇ(14.41),완결났냐 수고했다,2017.06.09 17:55:08
1085,S.d ,이거 내 블로근데 여기서 보는게 차라리 편하실듯https://m.blog.naver.com/PostList.nhn?blogId=qwerbnm12&categoryNo=14,2017.06.09 17:56:38
1086,ㅇㅇ(117.111),진짜스폰지밥쓰레기됏던데 ㅋㅋㅋ,2017.06.09 17:58:16
1087,ㅇㅇ(114.203),시발 현미씨리얼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2017.06.09 18:00:31
1088,CaptainGP ,"알바븅신이 보기존나힘들게해놧네 에피소드링크부터 써놓고1,2화 보여주던가",2017.06.09 18:00:41
1089,ㅇㅇ(49.165),시발 힛갤왔다 싸게싸게 올라가라,2017.06.09 18:01:28
1090,PGD-727 ,근데 작가분 설마 옛날 웃대에 그 순대디파일러님이쉼!?,2017.06.09 18:02:07
1091,ㅇㅇ(118.130),돌앗다 결말까지 이걸 살리네 미친ㅋㅋㅋㅋㅋ,2017.06.09 18:02:24
1092,PGD-727 ,,2017.06.09 18:02:44
1093,SEEuDOS ,갓갓갓갓,2017.06.09 18:03:21
1094,요시5 ,개잼따 ㄷㄷ,2017.06.09 18:04:31
1095,三船美優 ,개띵작 ㅠㅠㅠㅠ,2017.06.09 18:07:42
1096,三船美優 ,개씹띵띵띵띵작이다 ㄹㅇ ㅠㅠㅠ,2017.06.09 18:07:50
1097,ㅇㅇ(192.249),알바 씹병신새끼,2017.06.09 18:08:51
1098,월경 ,,2017.06.09 18:08:54
1099,케넷 ,,2017.06.09 18:10:58
900,Hauhau ,ㅠ,2017.06.09 18:11:26
901,ㅇㅇ(121.186),역대급띵작,2017.06.09 18:14:07
902,19등급 문지기 ,개씹띵작 ㅜ  - dc App,2017.06.09 18:14:37
903,숲갤 ,5,2017.06.09 18:16:16
904,ㅇㅇ(112.167),미쳤다,2017.06.09 18:18:26
905,째깐이(116.32),ㄹㅇ 역대급...  - dc App,2017.06.09 18:18:26
906,うねり ,,2017.06.09 18:19:05
907,무뇌 ,부랄 동서남북으로 찢으며 울었다 씨발ㅠㅠㅠ개씹띵작이노,2017.06.09 18:19:17
908,잘난마왕 ,38,2017.06.09 18:20:55
909,정은비 ,,2017.06.09 18:23:04
910,ㅇㅇ(114.70),진짜 ㄱㅆㅆㅆㅆㅅㅌㅊ 시펄ㅠㅠ 동서남북으로 울부짖었다 흐허허헝,2017.06.09 18:23:36
911,UNDUCK ,진짜잘봤다...  - dc App,2017.06.09 18:26:00
912,역풍 ,36,2017.06.09 18:27:00
913,NerdNert ,개추  - dc App,2017.06.09 18:29:54
914,랴뛟 ,쉬바 개지렷습니다 Sen seiㅠㅠㅠㅠㅠ,2017.06.09 18:30:13
915,알바나빠 ,개재밋네 쉬발거,2017.06.09 18:30:21
916,ㅇㅇ(121.170),개추 - 디씨앱 아님,2017.06.09 18:31:39
917,소환대전어나더 ,최고다,2017.06.09 18:35:48
918,하얀달팽이 ,재밋당,2017.06.09 18:41:43
919,을가니 ,이런걸 힛갤에 올려야지,2017.06.09 18:45:09
920,ㅇㅇ(223.62),와씨이발 결말까지 완벽하다,2017.06.09 18:48:41
921,123(124.60),인싸 만화,2017.06.09 18:49:16
922,ㅇㅇ(117.111),수고하셧습니다 샌디형님,2017.06.09 18:54:06
923,ㅁㄴㅇ(223.62),어플로 보기 존나불편해 ㅅㅂ,2017.06.09 18:56:54
924,dd(220.120),스폰지밥 쒸불 ㅠㅠ,2017.06.09 19:02:51
925,ㅇㅇ(125.131),님아 이거 번역해서 미국에 보내여.. 제발....,2017.06.09 19:12:43
926,ㅇㅇ(222.109),오 이고 완결났네 ㅋㅋㅋ  - dc App,2017.06.09 19:13:11
927,잇힝-_-/ ,시발 버스터미널에서 핸드폰 붙잡고 울고 있다 언능 후기올려라,2017.06.09 19:17:42
928,후레레레레레레레레레레레.. ,진짜 재밌다ㄹㅇ,2017.06.09 19:23:54
929,초1코 ,야 존나재밌게봤다  - dc App,2017.06.09 19:27:27
930,배부른무토 ,,2017.06.09 19:28:28
931,ㅇㅇ(125.185),개씹꿀잼 우럭따ㅠㅠ,2017.06.09 19:30:45
932,ㅇㅇ(125.186),정주행전애 ㅊㅊ,2017.06.09 19:31:10
933,잉여함의극치 ,,2017.06.09 19:31:53
934,ㅇㅇ(125.186),끈기있게 일년된 작이었네,2017.06.09 19:37:07
935,배부른무토 ,어엉  - dc App,2017.06.09 19:37:44
936,ㅇㅇ(1.219),진짜 미쳤다ㅋㅋㅋㅋ 개추  - dc App,2017.06.09 19:38:51
937,이리나 ,,2017.06.09 19:42:02
938,이리나 ,,2017.06.09 19:42:08
939,저TT임 ,각 에피마다 링크좀 .. 하나보고 뒤로와서 제일 밑으로 내리고 다음편보고 너무 힘듦;;,2017.06.09 19:43:22
940,페르난도 ,퍄 알래스카 황소벌레 언제나오나 했는데 마지막에...,2017.06.09 19:44:50
941,ㅇㅇ(211.109),병신들아 카연갤 가서 s.d 검색해서 봐,2017.06.09 19:45:34
942,ㅇㅇ(211.109),사서 고생하네,2017.06.09 19:45:42
943,머준 ,,2017.06.09 19:47:56
944,ㅇㅇ(211.173),아모캣 루게릭병 걸려서 사망..,2017.06.09 19:49:07
945,감평 ,정주행 하고왔습니다 굳굳,2017.06.09 19:49:51
946,ㅇㅇ(27.113),순디 블로그 주소 http://blog.naver.com/qwerbnm12,2017.06.09 19:50:34
947,이-지붐 ,울었다 시발 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2017.06.09 20:00:56
948,이-지붐 ,다보고 개추 박으니까 개추가 80개 늘어나네 ㅋㅋㅋㅋㅋㅋㅋㅋ,2017.06.09 20:01:31
949,카(39.120),ㅜㅜㅜㅜ,2017.06.09 20:10:41
950,ㅇㅇ ,,2017.06.09 20:13:19
951,ㅇㅇ ,,2017.06.09 20:13:21
952,ㅇㅇ ,,2017.06.09 20:13:24
953,ㅇㅇ(210.178),후 ㅠㅜ드디어끝났네,2017.06.09 20:22:19
954,유졓ㅎ ,이렁게 힛갤이지 : ),2017.06.09 20:25:01
955,제이비 ,유일한 승리자는 플랑크톤ㄷㄷㄷ,2017.06.09 20:26:03
956,세쟈 ,와 미친 뭐냐 이 띵작은,2017.06.09 20:29:22
957,배박이 ,시벌...개명작이다  - dc App,2017.06.09 20:29:32
958,이미죽은직업 ,진짜 재미있게 잘 봤어요 수고 많으셨어요 - dc App,2017.06.09 20:32:04
959,ㅇㅇ(211.213),와 진짜 개쩐다 연출 지린다 와..,2017.06.09 20:32:38
960,아똥매려워 ,8,2017.06.09 20:35:10
961,아똥매려워 ,8,2017.06.09 20:35:23
962,아똥매려워 ,8,2017.06.09 20:35:24
963,nin(1.235),굉장하다ㅋㅋㅋㅋ,2017.06.09 20:39:00
964,못생김담당 ,8,2017.06.09 20:47:49
965,잉클링 ,,2017.06.09 20:52:38
966,ㄴㅁㅇㅋ ,13,2017.06.09 21:00:12
967,알파고는사실읍읍 ,진짜 스토리 존나 좋다..... 스폰지밥의 다른면울 볼수있어서 좋은 기회였음 ㄹㅇ 고맙다  - dc App,2017.06.09 21:02:27
968,콩테무 ,,2017.06.09 21:02:29
969,콩테무 ,,2017.06.09 21:02:33
970,콩테무 ,,2017.06.09 21:02:36
971,콩테무 ,,2017.06.09 21:02:40
972,콩테무 ,,2017.06.09 21:02:51
973,GUEST_N3 ,다보고 울었다....  - dc App,2017.06.09 21:06:17
974,망자칼리 ,흑  - dc App,2017.06.09 21:06:58
975,하이브맛김치 ,정주행했다 시발 이건 진짜 명작이다  - dc App,2017.06.09 21:09:00
976,하이브맛김치 ,이런거 그려줘서 진짜 고맙다 오랫만에 재밌다고 해야하나 좋은 만화 봤다  - dc App,2017.06.09 21:09:33
977,슘패터 ,ㅡ  - dc App,2017.06.09 21:11:00
978,ㅇㅇ(119.207),와 진짜 존나재밌게봤다.  만화그린사람한테 고마움,2017.06.09 21:13:18
979,dd(175.116),순디 완결냈네,2017.06.09 21:18:37
980,깨시민 ,고생추 명작추   - dc App,2017.06.09 21:18:39
981,ㅇㅇ(61.254),카연갤의 마지막 보배인 데스웅,2017.06.09 21:26:38
982,ㅇㅇ(168.131),개씹지린다 형아  - dc App,2017.06.09 21:29:03
983,Bell ,뚱이 왜디졋는지는 안알려줌?,2017.06.09 21:29:24
984,갸아아아악 ,,2017.06.09 21:32:07
985,갸아아아악 ,,2017.06.09 21:32:09
986,갸아아아악 ,,2017.06.09 21:32:14
987,전민준 ,,2017.06.09 21:35:34
988,ㅇㅇ(115.136),와 개재밌다,2017.06.09 21:36:33
989,맷토끼 ,,2017.06.09 21:38:27
990,ㅇㅇ(223.62),이것은 역사가 높게 평가,2017.06.09 21:39:17
991,ㅇㅇ(61.41),뚱이 총맞앗자나,2017.06.09 21:39:27
992,ㅇㅇ(223.62),알래스카 황소벌레 니뮤ㅠㅠ,2017.06.09 21:40:38
993,ㅇㅇ(121.185),ㅈ  - dc App,2017.06.09 21:44:00
994,ㅇㅇ(223.62),이것은 역사가 높게 평가,2017.06.09 21:45:59
995,우울이.. ,빌런들 어디감 걔네는 안늙는거로 아는데  - dc App,2017.06.09 21:47:06
996,우울이.. ,방울이랑 광선맨어딧어  - dc App,2017.06.09 21:47:17
997,유기농사과 ,아09,2017.06.09 21:48:37
998,대나무 ,"그리시느라 수고 많았슴다 ㅠㅠ 아 그리고 이글 보시는 님들 제가 이거 번역중인데, 혼자 역식 다해서 속도가 굉장히 더딤다... 같이 해주실 식자님 함 구해봐여...  - dc App",2017.06.09 21:49:00
999,PzKpfw.lV.au.. ,꿀잼이닸 ㅋㅋ,2017.06.09 21:54:34
800,돈과동전. ,이거 이제 힛갤이냐 ㄹㅇ 띵작,2017.06.09 21:54:40
801,이시하º ,씨발 존나 재밌는것봐..,2017.06.09 21:56:57
802,ㅇㅇ(112.184),1화 보고 정신 못차리고 다봤다 ㅠㅠㅠ,2017.06.09 21:57:41
803,CragHack ,,2017.06.09 21:59:13
804,CragHack ,,2017.06.09 21:59:15
805,ㅇㅇ(1.229),이거슨 역사가 높이평가,2017.06.09 22:02:18
806,쭈쭈읭 ,ㄹㅇ 므섭다  - dc App,2017.06.09 22:03:36
807,ㄱㄱ(222.109),띵작ㅇㅈ 합니다,2017.06.09 22:05:58
808,갓나연0922 ,ㄹㅇ 마지막에 울뻔 ㅠ  - dc App,2017.06.09 22:06:31
809,ㅇㅇ(125.186),순디국밥?  - dc App,2017.06.09 22:08:55
810,이찰나 ,예견된 힛갤,2017.06.09 22:13:15
811,ㅇㅇ(59.18),셤기간인데 이거 다봤다 ㅠ,2017.06.09 22:15:25
812,마우스그네 ,와 진짜 존나재밌다,2017.06.09 22:15:34
813,Trionen ,드디어 완결이 ㅠ  - dc App,2017.06.09 22:15:38
814,Hauhau ,한국 만화 아직 살아있구나...  - dc App,2017.06.09 22:23:31
815,Imagined ,개추를 안줄수가 없다,2017.06.09 22:25:08
816,로코브 ,이거는 씨바 내 인생에서 이때까지 본 만화중에 제일 개쩐다ㄷㄷㄷ,2017.06.09 22:26:14
817,로코브 ,마오,2017.06.09 22:26:24
818,잦같은소리 ,원피스보다 재밌다 ㅅㅂ 결말까지 ㄹㅇ완벽 그자체  - dc App,2017.06.09 22:26:44
819,ㅇㅇ(211.36),작가님 잘봤습니다 ㅠㅠ어릴때 스폰지밥보던 세대라 그런지 눈물흘리면서봤네요 ㅋㅋ중간에 카툰에 나오던 애들 고증도 잘살려주셔서 감사합니다  - dc App,2017.06.09 22:28:48
820,uud ,크.....드디어완결났네 에피소드 요소 다들어간것도 그렇고 옛날생각남 감사합니다 센세,2017.06.09 22:29:21
821,ㅇㅇ(211.209),다람이 씹머꼴;;;,2017.06.09 22:30:44
822,ㅇㅇ(39.119),캬 다봤다 존나게 재미있다 ㄹㅇ 개추드림,2017.06.09 22:30:50
823,청주사람 ,광광 우럭따,2017.06.09 22:38:12
824,Sharkingg ,,2017.06.09 22:39:49
825,ㅇㅇ(175.121),넘모 감동적입니다.. 후반부는 정말 몇번이고 울컥이네요. 잘봤어요 감사합니다,2017.06.09 22:41:51
826,으윾 ,.  - dc App,2017.06.09 22:42:20
827,ㅇㅇ(175.118),씹명작 ㅇㅇ,2017.06.09 22:47:15
828,벽지속곰팡이 ,진짜 개띵작  - dc App,2017.06.09 22:47:57
829,ㅇㅇ(221.157),존잼!!! 좆감.jpg이딴세 만화냐??존잼!!! 좆감.jpg이딴세 만화냐??존잼!!! 좆감.jpg이딴세 만화냐??존잼!!! 좆감.jpg이딴세 만화냐??,2017.06.09 22:49:01
830,ㅇㅇ(221.157),좆감 그린새끼 이거 보고 좆잡고 반성해라 진심./.....,2017.06.09 22:49:20
831,jin ,ㅅㅂ 아직 올리지말라니까  - dc App,2017.06.09 22:49:50
832,*람파스 ,스폰지밥으로 어릴적 추억을 공유했던 사람들이라면 안울고 못배길것임...  - dc App,2017.06.09 22:50:10
833,ㅇㅇ(1.251),진짜 왠만한 만화보다 훨낫다ㄷㄷ  - dc App,2017.06.09 22:51:49
834,Πberius ,헣헣헣,2017.06.09 22:51:49
835,Rao ,개씹띵작 ㅠㅠㅠㅠㅠ,2017.06.09 22:54:02
836,ㅇㅇ(59.17),ㅇㅇ,2017.06.09 22:54:35
837,ㅇㅇ(59.17),야호!,2017.06.09 22:55:14
838,소정아가자 ,,2017.06.09 22:58:31
839,ㅇㅇ ,,2017.06.09 23:01:36
