,닉네임,댓글,날짜
919,My Child ,★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆ ★☆김정일 개새끼★☆,2011.01.05 23:10:19
920,씨발ㅇㅇ ,■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤■□,2011.01.05 23:10:36
921,씨발ㅇㅇ ,■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤■□,2011.01.05 23:10:41
922,씨발ㅇㅇ ,■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤!!■□성지순례■□장하다연북갤■□,2011.01.05 23:10:44
923,데브눈화 ,☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆,2011.01.05 23:13:37
924,데브눈화 ,성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성,2011.01.05 23:13:56
925,데브눈화 ,성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성,2011.01.05 23:13:59
926,데브눈화 ,성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성,2011.01.05 23:14:07
927,데브눈화 ,성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성,2011.01.05 23:14:14
928,애국(175.210),☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆,2011.01.05 23:15:40
929,174. ,성지순례,2011.01.05 23:19:27
930,ㅁㄴㅇ(110.11),세로드립으로 북괴를 멸하다니 과연 DC!! 이런거 힛겔 안보내고 뭐하냐 DC,2011.01.05 23:25:37
931,ㅋㅋㅋㅋㅋ(118.35),성지순례 아이온대박좀,2011.01.05 23:25:59
932,fafg(118.35),ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ씨발,2011.01.05 23:29:26
933,21세기엔감성 ,☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆,2011.01.05 23:32:14
934,성지순례(61.72),성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례,2011.01.05 23:40:07
935,휘풍 ,세로관광 부왘ㅋㅋ,2011.01.05 23:46:01
936,ㅁㄴㅇㄹ(115.143),☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆,2011.01.05 23:46:06
937,ㅁㄴㅇㄹ(115.143),이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로!,2011.01.05 23:46:59
938,asdf(118.33),북한 게시판에 김정일 세로욕설쓴 20대 돌연사 (1보) 강외수기자 (서울=연합뉴스) 오늘 오후 11시30분 북한 게시판에 김정일 세로욕설을쓴 한 20대 남성이 돌연사한체 자택에서 발견되었습니다. (연합뉴스 = 무단 전재배포 금지.) ⓑ,2011.01.05 23:52:32
940,asdf(118.33),북한 게시판에 김정일 세로욕설쓴 20대 돌연사 (1보) 강외수기자 (서울=연합뉴스) 오늘 오후 11시30분 북한 게시판에 김정일 세로욕설을쓴 한 20대 남성이 돌연사한체 자택에서 발견되었습니다. (연합뉴스 = 무단 전재배포 금지.) ⓑ,2011.01.05 23:52:41
941,asdf(118.33),북한 게시판에 김정일 세로욕설쓴 20대 돌연사 (1보) 강외수기자 (서울=연합뉴스) 오늘 오후 11시30분 북한 게시판에 김정일 세로욕설을쓴 한 20대 남성이 돌연사한체 자택에서 발견되었습니다. (연합뉴스 = 무단 전재배포 금지.) ⓑ,2011.01.05 23:52:42
942,밀덕용품(118.36),성지순례왔습니다.,2011.01.05 23:58:58
943,히류(125.128),성지순례 ㅋㅋㅋㅋ 너님 인증 잘못하면 암살당할듯 ㅋㅋㅋㅋㅋㅋ,2011.01.06 00:01:14
944,ㅁㄴㅇㄹ(115.143),이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로!이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛갤로! 이글을 힛,2011.01.06 00:03:55
945,간첩파견욬(211.59),님 암살하러 간첩 파견하는거 아님? ㅋㅋㅋㅋㅋ,2011.01.06 00:05:48
946,...(110.11),오오- 용자여,2011.01.06 00:21:33
947,나즈무 ,다른건 모르겠는데 이것만큼은 성지순례!,2011.01.06 00:51:40
948,ㄱㅂㄹ(124.60),성지순례욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2011.01.06 01:13:23
949,ㅋㅋㅋ(218.209),성지순례 ㅋㅋㅋ,2011.01.06 02:22:10
950,날아라정대만 ,성지순례욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 김정은 김일성 이 개자지새끼들,2011.01.06 02:31:27
951,심바라이온즈 ,김일성 좆새낔ㅋㅋㅋㅋㅋ 김정일 최악은 인간쓰레깈ㅋㅋㅋㅋㅋ 김정은 개만도 못한 쓰레깈ㅋㅋㅋ,2011.01.06 07:22:53
952,미르바드 ,눈팅만 하다 첨으로 댓글 성지순례 ㅋㅋㅋ 아..,2011.01.06 07:31:27
953,연평갤(122.37),★☆성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례성지순례☆★성지순례☆★성지☆★,2011.01.06 08:40:46
954,연평갤(122.37),★☆성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례성지순례☆★성지순례☆★성지☆★,2011.01.06 08:41:00
955,연평갤(122.37),★☆성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례성지순례☆★성지순례☆★성지☆★,2011.01.06 08:41:04
956,연평갤(122.37),★☆성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례☆★성지순례성지순례☆★성지순례☆★성지☆★,2011.01.06 08:41:07
957,ㅋㅋ123(121.133),♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡이런게 성지순례제♡,2011.01.06 08:44:16
958,ㅎㅎㅎ(222.114),☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆☆★성지순례★☆,2011.01.06 09:27:51
959,CA$H(58.77),성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성지순례왔음★★2011년모든일잘되길☆☆성,2011.01.06 09:55:43
960,heyday1q(211.219),성지순례 왔습니다. 2011년 한해도 모든일이 잘풀리게 해주십쇼...~~~2011년을 기점으로 쭉쭉 성장해 가는 인생이 되기를....성지 순례~~~,2011.01.06 10:03:39
961,ㅋㅋㅋ(119.196),김대중 개새끼도 좀 넣어주시지.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2011.01.06 10:17:07
962,개새끼들(210.216),작성자 잉여가 무슨 의도였는지는 중요하지 않다. 중요한건..진짜 구라가 아니고 작성자가 한게 맞다면... 그글 하나로 목숨을 잃거나 엄청난 불이익을 당할 사람이 생긴다는거나. 김정일이 개새끼고 김정은이 씹새끼인게 중요한게 아니고.. 다른 사람 인생을 완전히 망쳐놓고 즐거워하는 니들이 더 역겹다 씹새끼들아.,2011.01.06 10:24:35
963,개새끼들(210.216),"장난으로 사람을 죽이는 김정일이보다 더 더러운 개새끼들아. 김정은이 똥이나 핥다가 죽창에 똥꼬멍부터 주둥이까지 꿰뚫려서 죽는 니들 모습이 보고싶다,.",2011.01.06 10:26:27
964,러버보이(152.99),ㄴ오오미~ 우리민좆끼리 웹사이트 관리자 납셔부렀네~~ 보위부에 끌려가서 산 채로 분쇄당해 거름교화형 당하실 생각을 하시니 김정일 개새끼 장군님의 은혜에 눈물이 아리옵니까요잉?~~,2011.01.06 10:31:55
965,야 위에 병신아(116.37),개새끼들// 븅신같은게 성인군자납셨다 북괴뒤지는거 비웃는건 졎같고 여기사람들 죽창에 뚤리는건 니 희망사항이냐? 이런 병신새끼를 봤나,2011.01.06 10:54:54
966,야 위에 병신아(116.37),시발 니같이 더러운 반발심리는 존나역겨워. 차라리 사람죽을지도 모르는상황에 욕하지 말자고 하던가 저 지랄맞은 멘트는 뭔데,2011.01.06 10:55:44
967,아리아(121.172),성지 순례닷 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2011.01.06 11:43:32
968,ㅁㄴㅇ(211.201),개새끼들같은 새끼는 애미가 포탄맞고 뒤져봐야 정신차리지 씨발놈이 우리 국군 뒤지는데 그건 안좆같고 씨발 웹관리 못해서 죽을지도 모르는상황인새끼는 불쌍하냐 개씨발롬아?,2011.01.06 11:44:47
