,닉네임,댓글,날짜
33,Amadioha ,디시콘 보기,2021.03.21 04:10:30
34,Amadioha ,5디시콘 보기,2021.03.21 04:10:35
35,ㅇㅇ(1.225),9841,2021.03.21 04:11:30
36,ㅇㅇ(1.224),9850,2021.03.21 04:16:17
37,ㅇㅇ(222.97),9855 끝내 갑옷을 집어 던지지는 못 했구나... 씁쓸하네...,2021.03.21 04:25:14
38,박미소님 ,난 부산시 연제구의 박미소다!,2021.03.21 04:28:20
39,ㅇㅇ(223.39),진짜 존나 신기하네,2021.03.21 04:37:47
40,ㅇㅇ(223.39),나는 읽으면서 남자 입장에서도 사회적으로 받는 차별이 있고 힘듦이 있으니 남녀갈등 그만하고 보다 나은 사회를 만들어보자의 느낌을 받았는데,2021.03.21 04:39:32
41,ㅇㅇ(223.39),여초에서 여자들은 '남자새끼들 여자한테 왜 탓함?? 지들이 만든 사회 문환데??' 이러는거보면,2021.03.21 04:40:19
42,ㅇㅇ(223.39),진짜 지능적으로 떨어지는 이상한 놈년들은 있나봄,2021.03.21 04:40:55
43,ㅇㅇ(223.62),자신들이 그렇게 열광하던 82년생 어쩌구는 아주 좋다고 빨아주더니,2021.03.21 04:42:18
44,ㅇㅇ(223.62),걍 단편만화 읽는데 3분도 안걸리는걸 얼마나 대충 읽고 부정적으로 봤으면 그런 생각을 하지,2021.03.21 04:42:50
45,좌파 ,디시콘 보기,2021.03.24 00:17:11
46,ㅇㅇ(122.37),9878추계정닉 2332,2021.03.24 15:53:20
47,ㅇㅇ(112.184),9892추,2021.03.28 21:19:27
48,눈쨩 ,9917,2021.04.06 23:25:15
49,ㅇㅇ(59.6),9922,2021.04.08 18:35:56
50,ㅇㅇ(223.38),9944추,2021.04.17 21:02:27
51,ㅇㅇ(121.168),9962,2021.04.21 14:51:53
52,ㅇㅇ(222.121),9977추,2021.04.27 15:07:07
53,ㅇㅇ(223.62),9988추,2021.05.02 18:07:02
54,ㅇㅇ(125.141),9990,2021.05.03 01:50:31
55,진보의거인 ,9992,2021.05.03 10:13:52
56,ㅇㅇ(121.163),9996이야 이거 1만 찍겠다 진짜 ㄷ,2021.05.04 18:46:25
57,ㅇㅇ ,9999추계정닉 2353,2021.05.05 22:27:50
58,ㅇㅇ(223.62),萬추,2021.05.06 00:33:50
59,ㅇㅇ(112.164),띵작 1만,2021.05.10 00:51:24
60,ㅇㅇ(115.138),1만추;;,2021.05.10 15:56:16
61,ㅇㅇ(223.38),10022추,2021.05.11 02:19:54
62,ㅇㅇ(121.168),1만 넘었노 ㄷㄷ,2021.05.15 17:31:48
63,ㅇㅇ(175.193),아내 옆에서 자는데 울 마눌님은 페미 아니어서 다행이라고 생각한다. 만화 그려줘서 고맙다. 추천하고간다,2021.06.06 01:10:57
64,ㅇㅇ(116.36),"진짜... 한국여자들이 ㅈㄹㅈㄹ 해도 내 가족,친구,연인이 페미 아닌것만으로도 감사할 다름이죠...",2022.04.23 11:05:28
65,가각 ,만베 입갤,2021.06.07 00:59:18
66,좌파 ,디시콘 보기,2021.07.31 01:19:15
67,ㅇㅇ(58.121),10125추,2021.08.12 08:27:12
68,ㅇㅇ(180.83),와..이렇게 맞은 개추 첨보네,2021.09.03 18:13:42
69,ArendellianA.. ,너무 씁쓸하다 진짜  - dc App,2021.09.08 14:36:13
70,ㅇㅇ ,1만추는 이유가 있었노,2021.10.10 22:47:24
71,ㅇㅇ(58.230),지랄ㅆㅏ네 병신남자새끼들,2021.10.15 22:39:53
72,ㅇㅇ(61.98),디시콘 보기,2021.11.20 20:45:53
73,ㅇㅇ(222.116),"이 글에서 지칭하는 ""병신남자새끼""라는 단어는 마치 ""흑인""이라는 단어와 비슷하군요. 분명 서로 반대되거나 상이한 단어가 합쳐져서 하나의 단어를 이루다니 말이죠.",2022.01.13 16:10:02
74,ㅇㅇ(121.177),ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.07.16 22:28:23
75,당빠죠 ,슬프다,2021.10.20 01:21:13
76,ㅇㅇ(222.116),10225추,2022.01.13 16:08:11
77,ㅇㅇ(116.126),10263추  - dc App,2022.03.26 17:59:48
78,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.04.05 23:14:00
79,ㅇㅇ(223.38),건국 이래 단 한번도 한국남자는 사회적 약자였던 적이 없었는데 왜 자꾸 동정심에 호소하려고 하는지도 모르겠고,2022.04.05 23:14:50
80,ㅇㅇ(116.36),"""남자가 근육이 더 잘 발달하니까 힘쓰는건 우리가 해야죠""???:여자혐오다! 여자도 할수있다! 한남들""여성들도 현장에 투입할수 있도록 하겠습니다""???:연약한 여자를! 미친 한남들! 남자새끼가 그거가지고!ㅅㅂ 어쩌라는건데 목숨바꿔가며 구해주면 고마워할줄 모르면 차라리 욕을하지 말던가... 고마움 느끼긴 커녕 못누린 혜택만 요구하는 그게 싫은거다..",2022.04.23 11:03:54
81,한녀제노사이드(211.109),하,2022.04.30 20:15:01
82,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:40:57
83,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:41:06
84,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:41:12
85,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:41:16
86,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:42:33
87,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:42:41
88,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:42:45
89,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:42:48
90,ㅇㅇ(223.62),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:43:25
91,ㅇㅇ(223.62),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:43:29
92,ㅇㅇ(223.62),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:43:33
93,ㅇㅇ(223.62),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.14 21:43:37
94,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.20 12:56:09
95,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.20 12:56:17
96,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.20 12:56:21
97,ㅇㅇ(223.38),"2010년대 초반까지 계속 김치녀, 된장녀, 김여사, 맘충, 보슬아치 등등 별 신조어 다 만들면서 여혐하다가 이제와서 한남충 하나로 발작하고 ""남녀갈등 그만하자. 둘 다 힘들다"" << 이런 양비론 펼치는 꼬라지 웃기긴함...",2022.07.20 12:56:26
98,ㅇㅇ(180.64),남자들의 희생을 외면한 여자들때문에 남자들이 여혐에 걸렸지 애초에 여혐하게 만든 년들이 문제였다는 소리 선넘어도 안쳐맞는 피싸개년들때문에 현실이 이런다.,2022.11.12 18:50:27
99,ㅇㅇ(122.45),이거보고 길거리 102030 한녀 보이면 죽이기로 했다,01.17 07:26:00
100,ㅇㅇ(223.62),7525추,2019.01.24 19:25:38
101,ㅇㅇ(223.38),7557추,2019.02.04 00:23:42
102,ㅇㅇ(180.230),7570 추  - dc App,2019.02.06 21:46:43
103,ㅇㄴㄴ(39.122),하와와.. 7578ㅊ,2019.02.08 03:21:05
104,a(58.238),보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들,2019.02.08 20:02:19
105,a(58.238),보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들,2019.02.08 20:02:28
106,a(58.238),보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들 보들보들하노보댕이들,2019.02.08 20:02:32
107,ㅇㅇ(121.133),잘 감상하고 갑니다,2019.02.17 00:40:13
108,ㅇㅇ(210.96),4004플,2019.02.26 23:23:53
109,ㅇㅇ(106.248),진정추,2019.02.28 19:30:13
110,ㅇㅇ(223.38),7654추,2019.03.06 13:10:55
111,ㅇㅇ(220.120),7676추,2019.03.12 12:37:33
112,ㅇㅇ(223.62),7711추,2019.03.25 23:26:21
113,ㅇㅇ(180.68),7712추,2019.03.26 09:05:59
114,ㅇㅇ(223.62),7722추,2019.03.29 17:39:13
115,ㅇㅇ(211.226),7733추,2019.04.01 15:53:47
116,ㅇㅇ(165.229),7742추,2019.04.05 15:43:25
117,ㅇㅇ(223.62),이젠 갖다 버릴때가 왔지,2019.04.11 19:36:59
118,ㅇㅇ(223.38),7766추,2019.04.18 12:49:59
119,ㅇㅇ(220.75),7777추,2019.04.21 13:51:11
120,ㅇㅇ(180.229),7788추,2019.04.24 22:15:06
121,ㅇㅇ(117.111),7821,2019.05.02 09:49:41
122,ㅇㅇ(117.111),군대가는거 치면 남자는 풀플레이트 아머겠지씨1발,2019.05.02 09:51:52
123,ㅇㅇ(117.111),그만큼 잉생의 가치관에 영향을 끼치는게있을까?대를위해 소를포기하라는  그런정신병에 세뇌당하고부조리가 당연하다고 타협하거나 합리화 하게돼는게?,2019.05.02 09:54:50
124,전립선커터 ,가슴에 확 와닿습니다  - dc App,2019.05.04 11:57:13
125,ㅇㅇ(143.248),"69AA,세계꼴찌 껌딱지 아스팔트 절벽젖통 보유 피싸들 대자연 따라 자연길만 걷자~!^후^",2019.05.05 05:04:17
126,ㅇㅇ(180.229),7868추,2019.05.15 22:12:53
127,ㅇㅇ(223.38),7878추,2019.05.19 21:23:33
128,dd(121.133),7882추,2019.05.23 11:00:05
129,ㅇㅇ(223.38),7890추,2019.05.26 00:40:49
130,ㅇㅇ(112.144),7891추,2019.05.26 13:49:54
131,ㅇㅇ(14.33),7908,2019.06.01 05:27:25
132,ㅇㅇ(122.37),7923추,2019.06.09 15:18:51
133,ㅇㅇ(27.164),7956추,2019.06.23 23:19:06
134,ㅇㅇ(49.168),감동받아서 추천하고가요.,2019.07.03 18:54:12
135,ㅇㅇ(49.168),7973,2019.07.03 18:54:31
136,ㅇㅇ(125.188),7997추,2019.07.13 12:24:09
137,ㅇㅇ(125.188),3남았노,2019.07.13 12:24:18
138,ㅇㅇ(210.206),8000추,2019.07.14 21:23:41
139,ㅇㅇ(223.53),8001추,2019.07.14 22:56:29
140,ㅇㅇ(106.102),8013추,2019.07.21 07:01:42
141,ㅇㅇ(211.178),"현실: 갑옷은 본인 몸을 보호해주는 기능도 있고 선망의 대상 즉 가부장제로 얻는 남성의 갑옷도 결국 남성을 보호해주는 방어구, 선망의 대상이고 여자의 코르셋은 보호구는 무슨 그냥 갈비뼈조이고 장기 누르며 예쁘게 보이는 기능만 하지. 결국 남자들 가부장제로 꿀빠는건 팩트라고",2019.07.27 11:40:10
142,ㅇㅇ(211.226),국어실력 ㅆㅎㅌㅊ,2019.07.27 22:50:15
143,ㅇㅇ(115.91),ㅖ,2019.08.01 22:21:10
144,ㅇㅇ(115.91),P,2019.08.01 22:21:14
145,컵라면돼지 ,이렇게 이해하기 쉬운 만화 보고 빡통스럽게 말하기 쉽지 않은데 ㄹㅇ,2019.10.08 22:43:19
146,AAAAAAAAAA ,병신,2020.05.18 11:17:53
147,ㅇㅇ(211.214),그렇구나~,2020.05.21 15:30:08
148,ㅇㅇ(116.33),이렇게 생각하는 새끼도 있노... 진짜 능지수준 ㅆㅎㅌㅊ네,2020.06.11 23:11:40
149,ㅇㅇ(115.22),수능국어 9등급,2020.08.25 17:05:22
150,ㅇㅇ(119.195),지구를 위해 죽어주면 안되냐,2021.01.05 17:47:13
151,조던피터슨(112.151),너 이시키 테러맨 댓글에다 망언한 시키지,2021.02.04 22:47:52
152,ㅇㅇ(175.223),9등급새끼 나가뒤지삼 ㅋㅋ,2021.03.21 04:11:05
153,어쩔수없이 ,갑옷이 아예 필요하질 않으니까 ㅋㅋ,2021.03.21 04:12:31
154,하무 ,디시콘 보기,2021.03.21 04:38:24
155,ㅇㅇ(58.122),와 이새끼는 와... ㅋㅋㅋㅋㅋ 갑옷의 해석을 그따구로 하는 구나 ㅋㅋㅋㅋ,2022.08.11 17:30:41
156,ㅇㅇ(211.226),8029추,2019.07.27 22:49:44
157,ㅇㅇ(211.248),8100추,2019.08.31 13:01:11
158,ㅇㅇ(223.33),이런 쓰레기만화로 딸치고자빠진거보면...얼마나 씹하타취인생일지 예상이 간다,2019.09.25 18:59:42
159,ㅇㅇ(223.38),이녀석 금수저 혹은 페미,2019.09.27 18:23:39
160,뉴비다 ,피싸개  - dc App,2019.10.08 19:10:57
161,silverskul(39.116),넌 그거보다 못한 인생인게 예상이 가,2020.11.14 16:36:18
162,ㅇㅇ(1.225),네다피,2021.03.21 04:11:16
163,ㅇㅇ(39.7),몸무게ㅠ3자리수,2021.04.13 18:10:34
164,ㅇㅇ(58.122),너도 할 수 있다 자위!,2022.08.11 17:31:06
165,평지1년차(115.139),8233추,2019.10.08 20:29:40
166,ㅇㅂ(210.205),8245추,2019.10.08 22:53:38
167,ㅇㅇ(222.114),8246추,2019.10.08 22:57:24
168,ㅇㅇ(125.190),8278추  - dc App,2019.10.09 20:41:27
169,BMC ,8339추  - dc App,2019.10.21 19:41:16
170,ㅇㅇ(27.163),8383추,2019.11.02 13:08:21
171,ㅇㅇ(223.62),8400추,2019.11.07 23:49:18
172,ㅇㅇ(223.62),8448추,2019.11.26 18:52:49
173,ㅇㅇ(1.102),8456추,2019.12.01 10:46:37
174,ㅇㅇ(211.248),8484추,2019.12.13 15:38:30
175,ㅇㅇ(180.229),8500추,2019.12.18 14:40:52
176,Ertr8415 ,8536추  - dc App,2019.12.29 01:59:14
177,ㅇㅇ ,8585추계정닉 추천 2000,2020.01.16 01:53:13
178,ㅇㅇ(115.22),8600추,2020.01.21 11:51:58
179,ㅇㅇ(1.241),8665추,2020.02.09 17:37:54
180,RattemauS ,카연갤이 이걸....,2020.02.29 20:09:02
181,ㅇㅇ(175.213),8737추,2020.03.01 19:54:40
182,ㅇㅇ(39.113),술 한잔하고 오랜만에 들러본다... 난 여전히 이렇게 무거운 갑옷을 입고 이렇게 살다가 죽겠지...2020년 여전히 한국여자들은 별 생각이 없이 잘 생기고 돈 많은 남자랑 결혼하여 마냥 즐거워 보인다.,2020.03.24 01:49:11
183,ㅇㅇ(223.62),그건 선택받은 여자들임. 남자가 살기 힘들면 여자가 원하는 신랑감도 줄어드는 거니까 여자도 불리함. 걔네들은 뒤웅박 팔자거든.,2020.03.24 12:33:02
184,ㅇㅇ(1.248),엄,2020.03.26 19:47:28
185,ㅇㅇ(1.248),준,2020.03.26 19:47:29
186,ㅇㅇ(1.248),식,2020.03.26 19:47:31
187,Seliean ,와 추천수보소  - dc App,2020.04.11 02:06:12
188,ㅇㅇ(121.66),8844추,2020.04.11 20:35:39
189,???(125.128),1만 추 가즈아,2020.04.13 02:19:39
190,란벌단(49.170),갓만화,2020.05.06 00:29:20
191,ㅇㅇ(222.109),부조리한 일 천지이지만 개인의 힘으로 할 수 있는게 너무 없다. 어쩌겠냐. 오늘도 갑옷 입고 열심히 살아보자.,2020.05.09 14:37:08
192,ㅇㅇ(223.62),8955추,2020.05.15 01:17:04
193,AAAAAAAAAA ,8963,2020.05.18 11:16:23
194,ㅇㅇ(223.39),울부짖었다ㅅㅂ,2020.05.18 11:43:01
195,ㅇㅇ(182.211),막 누굴 까는게 아니라 사실은 이렇다 식으로 스토리텔링을 해서 보기 편했던것가틈,2020.05.21 00:40:45
196,어휴(175.211),양성평등 모르냐 그만싸워라,2020.05.21 03:37:50
197,어휴(175.211),아니다 계속 싸워라..,2020.05.21 03:37:56
198,빛라쉬 ,9000추,2020.05.30 04:02:49
199,좌파 ,진짜 명작이다,2020.07.03 11:32:19
200,ㅇㅇ(223.62),6543추,2018.08.22 16:51:46
201,ㅇㅇ(211.221),보살추,2018.08.22 23:54:25
202,ㅇㅇ(223.62),6556추는 뒤에서 봐도 6556추,2018.08.25 10:09:02
203,ㅇㅇ(116.40),본인 02년생인데 윗댓글들 다 개소리다 지금도 뭐만하면 쪼잔하다함 씨발 보지찢어버릴까,2018.08.26 12:57:41
204,ㅇㅇ(202.150),ㄴ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 힘내라,2018.08.26 16:25:29
205,ㅇㅇ(222.121),시큼한 발가락 김치 한녀충들은 발가락 다 찢어버려야된다,2018.08.27 16:24:33
206,ㅇㅇㅇ(128.199),ㅋㅋㅋㅋㅋㅋㅋ 02년 월드컵때 태어난 친구네. 내 여동생도 내가 기저귀 갈아주고 업어서 키운 여동생이 있는데 너랑 동갑임. 나는 이제는 30살이지만.. 아무튼 고생이 많네.,2018.08.27 23:13:34
207,ㅇㅇㅇ(128.199),이런 시대에는 여자들은 묘하게 그런 말을 금기시 하지만 오히려 이런 시대일 수록 남자들은 남자의 의무에 대해서 새삼 되새겨야 한다. 여자들의 유언비어에 넘어가면 안된다고 생각. 02년 친구도 다소 억울 할 수 있겠지만. 그런 사소한 문제에서는 져줘라 필요 이상의 억울한 역차별에 눈감으라는 말이 아니라 정말로 중요한 부분에 우리는 신경을 써야 한다는 말임,2018.08.27 23:14:49
208,ㅇㅇㅇ(128.199),갈수록 시대가 인구 부족을 넘어서 앞으로는 인류의 가치 그 자체가 도전받는 시대가 올것 같음 로봇도 진화하고 로봇의 지능을 담당하는 AI도 진화하고 .. 그리고 우리나라 경제사정도 어려워 지고 있는데. 이럴수록 우리가 더욱 책임감을 가지고 한발 더 노력해야 함. 그게 적어도 만화에서 말하는 셀 수 없는 선대에서 부터 내려온 우리들 스스고 쓰고 살아가는 갑옷임. 의무라는 이름의 갑옷.,2018.08.27 23:15:55
209,ㅇㅇㅇ(128.199),"여자들은 평생을 살아도 단 한번도.  ' 나를 제외한 모든 사람들이 나 하나만을 보고 있다.' 이런 마음을 느낀건 오로지 우리 할머니 세대 (625전사자, 월남전 전사자, 파독광부, 파독간호사 )나 우리 어머니 세대말고는 현실적으로 오늘날 여자와는 거리가 먼 얘기다. 그게 서글퍼도 그렇게 인류가 역사를 써온게 사실임. 아무도 알아주지 않는다고 새삼 고독을 느끼는게 이상한거지. 실상은 그렇게 이름없이 죽어간 소방관, 군인, 경찰, 그리고 95%를 차지하는 의사자들. 당연히 남자들. 그들이 있어서 인류가 있었던 거니까.",2018.08.27 23:17:45
210,아니(125.180),"남성은 인류의 기둥이며 거시적인 트렌드이기도 하다. 아직까지는. 여자는 남자들과 동화되는것 말고는 아직까지 직접적인 영향을 끼치기 어렵다. 인수인계 다 될때까지, 그때까지만 버티자.  - dc App",2018.10.10 00:53:03
211,ㅇㅇㅇ(128.199),아무튼 힘내자구 >_ㅇ)b,2018.08.27 23:18:02
212,ㅇㅇ(223.62),역사추,2018.08.28 23:27:11
213,ㅇㅇ(1.248),애미터진 AAA예비창녀AAA 봊앰생 피똥싸개 에이즈 김치년들 보들보들거리는거  개꿀젬~ ㅋㅋ애미터진 AAA예비창녀AAA 봊앰생 피똥싸개 에이즈 김치년들 보들보들거리는거  개꿀젬~ ㅋㅋ애미터진 AAA예비창녀AAA 봊앰생 피똥싸개 에이즈 김치년들 보들보들거리는거  개꿀젬~ ㅋㅋ애미터진 AAA예비창녀AAA 봊앰생 피똥싸개 에이즈 김치년들 보들보들거리는거  개꿀젬~ ㅋㅋ,2018.08.30 19:54:25
