,닉네임,댓글,날짜
6186,ㅇㅇ(121.146),본인스펙 마치재학중(휴학) 토익800 키170 일본어 ㅍㅌㅊ(레쥬메읽을때문제없음)취직(미츠이부동산목표)인데 저런스시녀 노력하면만날수잇냐?,2021.10.25 17:30:50
6197,ㅇㅇ(211.55),하루카...? 하루카스...??,2021.10.25 17:30:54
6164,ㅇㅇ(175.117),애잔하다 그냥..,2021.10.25 17:30:55
6200,ㅇㅇ(59.29),ㅈㄴ 성공한 인생이노,2021.10.25 17:30:55
6382,ㅇㅇ(220.85),(223.62) // 글쎄 난 일본에서 맨션살때 좁아터져서 별로던데 ㅋㅋㅋㅋ지금은 내집잇음,2021.10.25 17:30:59
6187,ㅇㅇ(121.146),제발답변,2021.10.25 17:31:02
6424,ㅇㅇ(222.98),ㄹㅇ...,2021.10.25 17:31:02
6201,ㅇㅇ(39.7),아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고 아 알았다고 찍는다고 그만하라고,2021.10.25 17:31:13
6202,샨테 ,출처 : 반찬가게,2021.10.25 17:31:15
6203,ㅇㅇ(223.39),일본어공부시작한다  - dc App,2021.10.25 17:31:16
6330,애국보수정다현 ,퐁퐁남새끼 아직도 능력이 다가 아니란걸 못깨닳고 이딴소리 하고있노 ㅋㅋ,2021.10.25 17:31:17
6204,ㅁㅁㅁㅁ(121.167),와 솔직히 씨발 존나게 푸짐한것만 보다가 저런거 보니까 존나 적네 이런생각이 드는게 아니라 아 귀엽네란 생각이 드네.. 역시 갓본..,2021.10.25 17:31:20
6274,ㅇㅇ(223.39),일어한다고 니가 만날수 있을까?,2021.10.25 17:31:21
6299,ㅇㅇ(115.94),이건 ㅇㅈ 돈좀 더줘라 진수성찬 먹을수있을듯,2021.10.25 17:31:22
6205,ㅇ ㅇ(124.56),역시 일본여자가 결혼생활을 해서 실망시킨걸 본적이 없다 그런데 한년 이 씨발년들은....,2021.10.25 17:31:28
6206,ㄹㅋ ,퐁퐁단 보고 웃다가 이거보고 이재명찍음,2021.10.25 17:31:31
6289,ㅇㅇ(106.102),뽀드득~~뽀드득~~,2021.10.25 17:31:32
6383,ㅇㅇ(220.85),(223.38) // 에혀;;  스시녀도 다 걍 똑같어 연애못해본티좀 내지마 솔직히 쪽팔림,2021.10.25 17:31:32
6207,ㅇㅇ(118.235),을사어벤져스.. 당신들은 도대체 어디까지 내다보신겁니까..,2021.10.25 17:31:33
6208,ㅇㅇ(39.7),퐁퐁이들은 꼴랑 용돈 30만원 받으면서 집밥도 못 얻어먹는데ㅋㅋㅋㅋ,2021.10.25 17:31:33
6448,사이토유키 ,필요한 거 있으면 나한테 말해서 내가 사줌 ㅇㅇ,2021.10.25 17:31:33
6209,클로스메잌더맨 ,퐁퐁이형들 쓰러질려 하네 ㅠㅠ 제발 그만해! 이러다 다 주거 ㅠ  - dc App,2021.10.25 17:31:36
6210,네오니 ,디시콘 보기,2021.10.25 17:31:36
6211,ㅇㅇ(58.123),지금이라도 늦이 않았다 갓본의 신민이 되자,2021.10.25 17:31:39
6213,ㅇㅇ(118.235),김치 안먹어서 따로 끓인거임?  - dc App,2021.10.25 17:31:42
6216,ㅇㅇ(119.194),"처녀성이 중요한게 아님. 이런식으로 남편 내조해주고, 전남친들이랑 갈고닦은 잠자리스킬로 남편 홍콩보내주면 최고의 마누라다. 사까시 피하는 여자들도 많다는 사실 잊지마라.",2021.10.25 17:31:42
6218,네오니 ,1디시콘 보기,2021.10.25 17:31:44
6220,ㅇㅇ(122.44),소박하지만 정성이 가득 보이잖냐.. 이게 아내지 ㅅㅂ...,2021.10.25 17:31:46
6222,ㅇㅇ(211.114),아 진짜 씨발 적당히 해라 너때매 몇달간 안먹던 우울증약 지금 먹고 싶어졌다,2021.10.25 17:31:46
6223,ㅇㅇ(59.3),식단 저정도면 영양까지 고려해서 ㅅㅌㅊ로 잘짜네ㄹㅇ,2021.10.25 17:31:47
6224,네오니 ,3디시콘 보기,2021.10.25 17:31:48
6225,ㅇㅇ(115.23),좆재명 찍을 퐁퐁단들은 투표지에 기시다 후미오나 써넣고 와라ㅋㅋ,2021.10.25 17:31:49
6275,ㅇㅇ ,簡単すぎるぜ,2021.10.25 17:31:53
